City	城市
Contribution	投稿
Paper	论文
Poster	海报
Short_paper	短论文
Country	国家
Event	活动
Administrative_event	管理活动
Camera_Ready_event	照相制版活动
Registration_of_participants_event	报名注册活动
Reviewing_event	审稿活动
Reviewing_results_event	审稿结果活动
Submission_event	投稿活动
Social_event	社交活动
Banquet	宴会
Reception	招待会	欢迎会
Trip	旅游
Working_event	工作活动
Conference	会议
Tutorial	教程
Workshop	研讨会
Organization	组织
Company	公司
University	大学
Person	人员
Administrator	管理人员
Assistant	助理
Author	作者
Chair_PC	程序委员会主席
Member_PC	程序委员会成员
Participant	参加者	参与者
Member	成员
Regular	标准
Student	学生
Scholar	学者
Science_Worker	科学工作者
Volunteer	志愿者
Topic	主题
dealsWith	处理
employedBy	受雇于
expertOn	专家于
follows	紧接着
hasAdministrativeEvent	有管理活动
hasCity	有城市
hasCountry	有国家
hasTopic	有主题
parallel_with	平行于
reviewes	审稿
studyAt	就学于
writes	撰写
writtenBy	由之撰写
abstract	摘要
contactEmail	联系电子信箱
defaultChoice	缺省项目	默认项目
earlyRegistration	提前注册
ends_on	结束于
has_short_title	有简略标题
has_title	有标题	有主题
hasEmail	有电子信箱
hasFax	有传真号码
hasFirstName	有名
hasHomePage	有主页
hasKeyword	有关键词
hasPhone	有电话号码
hasPostalCode	有邮编
hasStreet	有街道名
hasSurname	有姓
hasTitle	有标题
hasVAT	有增值税
location	场所	地点
maxChoice	最多选项	最多选择
minChoice	最少选项	最少选择
remark	备注
starts_on	开始于
