Committee	委员会
Organizing_committee	组委会	组织委员会
Program_committee	程序委员会
Steering_committee	指导委员会 
Conference	会议
Conference_volume	会议卷册
Conference_document	会议文件
Call_for_paper	征文启事	征文通知
Call_for_participation	征集参与者通知
Conference_announcement	会议通知
Conference_contribution	会议征稿通知
Poster	海报
Presentation	报告
Invited_talk	特邀报告
Written_contribution	书面投稿
Regular_contribution	正规投稿
Extended_abstract	长摘要
Abstract	摘要
Paper	论文
Submitted_contribution	投稿
Reviewed_contribution	被审稿件
Accepted_contribution	录用稿件
Camera_ready_contribution	照相制版稿件
Rejected_contribution	拒收稿件
Conference_www	会议网站
Information_for_participants	与会者信息
Review	审稿意见
Conference_fees	会议费用
Conference_part	会议部分
Track	轨道
Tutorial	教程
Workshop	研讨会
Conference_proceedings	会议论文集
Important_dates	重要日期
Organization	组织
Organizer	组织者
Person	人员
Committee_member	委员会成员
Chair	主席
Co-chair	联合主席
Conference_applicant	会议申请人
Paid_applicant	付费申请人
Registeered_applicant	已注册申请人
Early_paid_applicant	提前付费申请人
Late_paid_applicant	晚付费申请人
Conference_contributor	会议投稿人
Active_conference_participant	主动与会者	主动会议参与者
Invited_speaker	特邀报告人
Regular_author	正规作者
Contribution_1th-author	投稿第一作者
Contribution_co-author	投稿合作作者
Conference_participant	与会者
Active_conference_participant	主动与会者	主动会议参与者
Passive_conference_participant	被动与会者	被动会议参与者
Reviewer	审稿人
Track-workshop_chair	研讨会主席
Publisher	出版商
Review_expertise	审稿专长
Review_preference	审稿优先选择
Topic	主题
belong_to_a_conference_volume	属于一个会议卷册
belongs_to_a_review_reference	属于一个审稿参考
belongs_to_reviewers	属于审稿人
contributes	投稿
gives_presentations	作报告
has_a_commtitee	有一个委员会
has_a_program_committee	有一个程序委员会
has_a_steering_committee	有一个指导委员会
has_an_organizing_committee	有一个组织委员会	有一个组委会
has_a_publisher	有一个出版商
has_a_review	有一个审稿意见
has_a_review_expertise	有一个审稿专长
has_a_review_reference_or_expertise	有一个审稿参考或者专长
has_a_submitted_contribution	有一个投稿
has_a_topic_or_a_submission_contribution	有一个主题或者投稿
has_a_track-workshop-tutorial_chair	有一个研讨会教程主席
has_a_track-workshop-tutorial_topic	有一个研讨会教程主题
has_an_abstract	有一个摘要
has_authors	有作者
has_been_assigned_a_review_reference	被分配给审稿参考
has_contributions	有投稿
has_important_dates	有重要日期
has_members	有成员
has_a_committee_chair	有一个委员会主席
has_a_committee_co-chair	有一个委员会联合主席
has_parts	有部分
has_tracks	有轨道
has_tutorials	有教程
has_workshops	有研讨会
invited_by	受邀于
invites_co-reviewers	邀请联合审稿人
is_a_topis_of_conference_parts	是一个会议部分的主题
is_given_by	是由之作
is_part_of_conference_volumes	是会议卷册的一部分
is_submitted_at	是投至
is_the_1th_part_of	是第一部分
issues	发行
reviews	评审
was_a_committee_of	曾是一个委员会
was_a_program_committee_of	曾是一个程序委员会
was_a_steering_committee_of	曾是一个指导委员会
was_an_organizing_committee_of	曾是一个组织委员会	曾是一个组委会
was_a_member_of	曾是一个成员
was_a_committe_co-chair_of	曾是一个委员会联合主席
was_a_committee_chair_of	曾是一个委员会主席
was_a_track-workshop_chair_of	曾是一个研讨会主席
has_a_URL	有一个网址
has_a_date_of_issue	有一个发行日题
has_a_degree	有一个度
has_a_location	有一个地点	有一个位置
has_a_name	有一个名字
has_a_volume	有一个卷册
has_an_ISBN	有一个ISBN
has_an_email	有一个电子邮箱
has_an_expertise	有一个专长
has_gender	有性别
has_the_first_name	有名
has_the_last_name	有姓
is_a_date_of_acceptance_announcement	有一个录用通知日期
is_a_date_of_camera_ready_paper_submission	有一个照相制版提交日期
is_a_full_paper_submission_date	有一个全文投稿日期
is_a_starting_date	有一个开始日期
is_an_abstract_submission_date	有一个摘要投稿日期
is_an_ending_date	有一个结束日期
