Activity	活动
Activity_after_conference	会后活动
Departure	离开
Full_day_tour	全日游
Activity_before_conference	会前活动
Accepting_manuscript	录用投稿
Receiving_manuscript	接收投稿
Refusing_manuscript	拒收投稿
Renting	租赁
Research	研究
Modelling	建模
Simulating	模拟
Conference_activity	会议活动
Coctail_reception	鸡尾酒会
Coffee_break	会间休息
Introduction	介绍
Introduction_of_speaker	讲演者介绍	报告人介绍
Lecture	讲座
Plenary_lecture	全会讲座
Session	分场会议
Speaker_lecture	报告人讲座
Tutorial	教程
Presentation	报告
PowerPoint_presentation	幻灯片报告
Video_presentation	视频报告
Registration	注册
Social_program	社交活动
Dinner_banquet	晚宴
Technic_activity	技术活动
Welcome_address	欢迎致词
City	城市
Conference_city	会议城市
Presenter_city	报告人城市	讲演人城市
Sponsor_city	赞助者城市
Trip_city	旅游城市
Currency	货币
Item	项目	细目
Audiovisual_equipment	视听设备
Computer	计算机	电脑
LCD_projector	液晶投影机
Overhead_projector	投影仪
Video_cassette_player	录像带播放器_
Card	卡
Credit_card	信用卡
Document	文件
Brief_introduction_for_Session_chair	分场会议主席的简短介绍
Form	表格
Author_information_form	作者信息表
Hotel_registration_form	宾馆注册表
Registration_form	注册表
Invitation_letter	邀请信
Mailing_list	邮件列表
Payment_document	付款文件
Bank_transfer	银行转帐	银行汇款
Cheque	支票
Record_of_attendance	出席记录
Review	审稿意见
Submission	投稿
Final_manuscript	最后定稿
Initial_manuscipt	初稿
Transparency	透明度
Viza	签证
Publication	出版物
Book_proceeding	会议录
Cd_proceening	会议录光盘
Transport_vehicle	交通工具	运输工具
Car	汽车
Shuttle_bus	班车
Taxi	出租车
Van	卡车	货车
Money	钱款
Fee	费用
Fee_for_extra_trip	额外旅行费用
Hotel_fee	酒电费	宾馆费
Registration_fee	注册费
Author_attendee_book_registration_fee	作者与会者注册费
Author_attendee_cd_registration_fee	作者与会者光盘注册费
Memeber_registration_fee	会员注册费
Nonauthor_registration_fee	非作者注册费
Nonmember_registration_fee	非会员注册费
Student_registration_fee	学生注册费
Sponzorship	赞助
Tax	税
Departure_tax	离境税
Value_added_tax	附加税	增值税
Tip	小费
Person	人员
Delegate	代表
Conference_Hiker	会议旅行者
Hotel_presenter	住宾馆的报告人
IASTED_member	IASTED会员
IASTED_non_member	非IASTED会员
Listener	旁听者
Non_speaker	非报告人
Student_non_speaker	不做报告的学生
Worker_non_speaker	不做报告的学者
One_day_presenter	单日报告人
Session_chair	分场会议主席
Speaker	报告人
Author	作者
Author_book_proceedings_included	获得会议录书的作者
Author_cd_proceedings_included	获得会记录光盘的作者
Lecturer	演讲者
Student_lecturer	学生演讲者
Worker_lecturer	学者演讲者
Plenary_lecture_speaker	全会讲座演讲者
Tutorial_speaker	教程主讲人
Reviewer	审稿人
Technical_commitee	技术委员会
Sponsor	赞助人
Place	地点
Building	建筑物
Conference_airport	会议机场
Conference_building	会议大楼
Conference_hotel	会议宾馆
Conference_restaurant	会议餐厅
Presenter_house	报告人的房子
Presenter_university	报告人的大学
Sponsor_company_house	赞助公司的房子
Conference_hall	会议大厅
Hotel_room	宾馆房间
Double_hotel_room	双人间
Single_hotel_room	单人间
Main_office	主办事处
Session_room	分场会议室
State	国家
Conference_state	会议国家
Presenter_state	报告人国家
Sponsor_state	赞助者国家
Time	时间
Conference_days	会议日期
One_conference_day	会议日
Deadline	截止日期
Camera_ready_manuscript_deadline	照相制版截止日期
Deadline_for_notification_of_acceptance	录用通知截止日期
Deadline_hotel_reservation	宾馆预定截止日期
Registation_deadline	注册截止日期
Submissions_deadline	截稿日期
Trip_day	旅游日
Time_zone	时区
give	给
go_through	经过
is_connected_with	与之连接
is_designed_for	为之设计
is_equipped_by	以之配备
is_given_by	由之给予
is_given_to	给
is_held_after	之后举办
is_held_before	之前举办
is_held_in	举办于
is_made_from	由之组成
is_needed_for	需要
is_occupied_by	由之占用
is_paid_by	由之支付
is_paid_for	为之支付
is_paid_in	支付于
is_paid_with	支付
is_prepared_by	由之准备
is_present	作报告于
is_present_in	作报告于
is_sent_after	之后发送
is_sent_before	之前发送
is_sent_by	由之发送
is_signed_by	由之签名
is_situated_in	位于
is_used_by	被用于
is_used_for	用于
is_visited_by	由之参观
is_writen_by	由之写
need	需要
obtain	获得
occupy	占用
pay	支付
prepare	准备 
send	发送
sign	签名
speak_in	作报告于
write	写
done_till	截至
has_amount_of	有总计
is_dated_on	注明日期于
