ACM_SIGKDD	计算机协会知识发现和数据挖掘会议
Award	奖
Best_Applications_Paper_Award	最佳应用论文奖
Best_Research_Paper_Award	最佳研究论文奖
Best_Student_Paper_Award	最佳学生论文奖
Committee	委员会
Best_Paper_Awards_Committee	最佳论文奖委员会
Organizing_Committee	组织委员会	组委会
Program_Committee	程序委员会
Conference	会议
Deadline	截稿日期
Deadline_Abstract_Submission	摘要截稿日期
Deadline_Author_notification	录用论文作者通知截止日期
Deadline_Paper_Submission	全文截稿日期
Document	文件
Abstract	摘要
Paper	论文
Review	审稿意见
Fee	费用
Registration_fee	注册费
Registration_Non-Member	非成员注册费
Registration_SIGKDD_Member	SIGKDD成员注册费
Registration_SIGMOD_Member	SIGMOD成员注册费
Registration_Student	学生注册费
Sponzor_fee	赞助费
Person	人员
Listener	听众 
Organizator	组织者
General_Chair	大会主席
Organizing_Committee_member	组织委员会成员	组委会成员
Program_Chair	程序委员会主席
Program_Committee_member	程序委员会成员
Webmaster	网站管理员
Speaker	报告人
Author	作者
Author_of_paper	论文作者
Author_of_paper_student	学生论文作者
Invited_Speaker	特邀报告人
Place	场所
Conference_hall	会议大厅
Hotel	宾馆
Main_office	总办事处
Sponzor	赞助者
Best_Student_Paper_Supporter	最佳学生论文赞助者
Bronze_Supporter	铜牌级赞助者
Exhibitor	参展者
Gold_Supporter	金牌纪赞助者
Platinum_Supporter	白金级赞助者
Silver_Supporter	银牌级赞助者
award	颁奖给
awarded_by	获奖于
can_stay_in	可位于
design	制定
designed_by	制定于
hold	承办
holded_by	由之承办
notification_until	直到录用通知日期
obtain	获奖
pay	付费
payed_by	由之付费
presentation	报告
presentationed_by	由之作报告
search	寻找
searched_by	由之寻找
submit	投稿
submit_until	投稿截止于
City_of_conference	会议城市
Currency	货币
Date	日期
E-mail	电子信件
End_of_conference	会议结束日期
Name	姓名
Name_of_conference	会议名称
Name_of_sponsor	赞助者名称
Nation	国籍
Price	价格
Start_of_conference	会议开始日期
