Committee	comité
Organizing_committee	comité organizador
Program_committee	comité de programa
Steering_committee	comité directivo
Conference	conferencia
Conference_volume	volumen de la conferencia
Conference_document	documento de la conferencia
Call_for_paper	solicitud de envío de artículos
Call_for_participation	solicitud de participación
Conference_announcement	anuncio de la conferencia
Conference_contribution	contribución a la conferencia
Poster	póster
Presentation	presentación
Invited_talk	charla invitada
Written_contribution	contribución por escrito
Regular_contribution	contribución regular
Extended_abstract	resumen ampliado
Abstract	resumen
Paper	artículo
Submitted_contribution	contribución enviada 
Reviewed_contribution	contribución revisada
Accepted_contribution	contribución aceptada
Camera_ready_contribution	contribución lista para su envío definitivo
Rejected_contribution	contribución rechazada
Conference_www	conferencia www
Information_for_participants	información para los participantes
Review	revisión
Conference_fees	tasas de la conferencia 
Conference_part	parte de la conferencia
Track	panel
Tutorial	tutorial
Workshop	taller
Conference_proceedings	actas de la conferencia
Important_dates	fechas importantes
Organization	organización
Organizer	organizador
Person	persona
Committee_member	miembro del comité de programa
Chair	presidente
Co-chair	vicepresidente
Conference_applicant	persona que envía una solicitud a la conferencia
Paid_applicant	persona que paga las tasas de la conferencia
Early_paid_applicant	persona que hace un pago anticipado de las tasas de la conferencia
Late_paid_applicant	persona que paga con retraso las tasas de la conferencia
Conference_contributor	persona que envía una contribución a la conferencia
Active_conference_participant	participante activo en la conferencia
Invited_speaker	conferenciante invitado
Regular_author	autor
Contribution_1th-author	primer autor de la contribución
Contribution_co-author	coautor de la contribución
Conference_participant	participante de la conferencia
Active_conference_participant	participante activo en la conferencia
Passive_conference_participant	participante pasivo en la conferencia
Reviewer	revisor
Track-workshop_chair	organizador de los workshops 
Publisher	editor
Review_expertise	experiencia del revisor 
Review_preference	preferencia del revisor
Topic	tema
Registeered_applicant	persona registrada a la conferencia
belong_to_a_conference_volume	pertenece al volumen de la conferencia
belongs_to_a_review_reference	pertenece a una referencia de la revisión 
belongs_to_reviewers	pertenece a los revisores
contributes	contribuye
gives_presentations	da presentaciones
has_a_commtitee	tiene un comité
has_a_program_committee	tiene un comité de programa
has_a_steering_committee	tiene un comité directivo
has_an_organizing_committee	tiene un comité organizador
has_a_publisher	tiene un editor
has_a_review	tiene un revisor
has_a_review_expertise	tiene experiencia en la revisión de artículos
has_a_review_reference_or_expertise	tiene referencias o experiencia en la revisión de artículos
has_a_submitted_contribution	ha presentado una contribución
has_a_topic_or_a_submission_contribution	tiene un tema o una contribución enviada
has_a_track-workshop-tutorial_chair	tiene organizador de taller-tutorial 
has_a_track-workshop-tutorial_topic	tiene tema de taller-tutorial
has_an_abstract	tiene resumen
has_authors	tiene autores
has_been_assigned_a_review_reference	se le ha asignado una referencia  de revisiones
has_contributions	tiene contribuciones
has_important_dates	tiene fechas imprortantes
has_members	tiene miembros
has_a_committee_chair	tiene un presidente de comité
has_a_committee_co-chair	tiene un vicepresidente de comité
has_parts	tiene partes
has_tracks	tiene paneles
has_tutorials	tiene tutoriales
has_workshops	tiene talleres
invited_by	invitado por
invites_co-reviewers	corevisores invitados
is_a_topis_of_conference_parts	es tema de parte de la conferencia
is_given_by	dado por
is_part_of_conference_volumes	forma parte de los volúmenes de la conferencia
is_submitted_at	enviado a 
is_the_1th_part_of	es la primera parte de
issues	problemas
reviews	revisiones
was_a_committee_of	era comité de
was_a_program_committee_of	era comité de programa de
was_a_steering_committee_of	era comité directivo de 
was_an_organizing_committee_of	era comité organizador de
was_a_member_of	era miembro de 
was_a_committe_co-chair_of	era vicepresidente del comité de
was_a_committee_chair_of	era presidente del comité de
was_a_track-workshop_chair_of	era organizador de un panel de talleres de
has_a_URL	tiene URL
has_a_date_of_issue	tiene fecha de emisión 
has_a_degree	tiene grado
has_a_location	tiene ubicación
has_a_name	tiene nombre
has_a_volume	tiene volumen
has_an_ISBN	tiene ISBN
has_an_email	tiene correo electrónico
has_an_expertise	tiene experiencia
has_gender	tiene género
has_the_first_name	tiene nombre de pila
has_the_last_name	tiene apellidos
is_a_date_of_acceptance_announcement	es fecha de aceptación del anuncio 
is_a_date_of_camera_ready_paper_submission	es fecha de envío de versiones definitivas de artículos
is_a_full_paper_submission_date	es fecha de envío de artículos largos
is_a_starting_date	es fecha de inicio
is_an_abstract_submission_date	es fecha de envío de resúmenes
is_an_ending_date	es fecha de finalización
