Committee	committee
Organizing_committee	organizing committee
Program_committee	program committee
Steering_committee	steering committee
Conference	conference
Conference_volume	conference serie
Conference_document	conference document
Call_for_paper	call for paper
Call_for_participation	call for participation
Conference_announcement	conference announcement
Conference_contribution	conference contribution
Poster	poster
Presentation	presentation
Invited_talk	invited talk
Written_contribution	written contribution
Regular_contribution	regular contribution
Extended_abstract	extended abstract
Abstract	abstract
Paper	paper
Submitted_contribution	submitted contribution
Reviewed_contribution	reviewed contribution
Accepted_contribution	accepted contribution
Camera_ready_contribution	camera-ready version of contribution
Rejected_contribution	rejected contribution
Conference_www	web of conference
Information_for_participants	information for participants
Review	review
Conference_fees	fee for conference
Conference_part	part of conference
Track	track of conference
Tutorial	tutorial
Workshop	workshop
Conference_proceedings	proceedings of conference
Important_dates	important date
Organization	organization
Organizer	organizer
Person	person
Committee_member	member of committee
Chair	chair
Co-chair	co-chair
Conference_applicant	applicant for conference
Paid_applicant	applicant for conference who paid conference fee
Early_paid_applicant	applicant for conference who early paid conference fee
Late_paid_applicant	applicant for conference who lately paid conference fee
Conference_contributor	contributor for conference
Active_conference_participant	active conference participant
Invited_speaker	invited speaker
Regular_author	author of contribution
Contribution_1th-author	first author of contribution
Contribution_co-author	co-author of contribution
Conference_participant	participant of conference
Active_conference_participant	active participant of conference
Passive_conference_participant	passive participant of conference
Reviewer	reviewer
Track-workshop_chair	chair of workshop track
Publisher	publisher
Review_expertise	expertise of reviewer
Review_preference	preference of reviewer
Topic	topic
Registeered_applicant	registered applicant
belong_to_a_conference_volume	important date of conference serie
belongs_to_a_review_reference	topic related to review preference
belongs_to_reviewers	preference or expertise of reviewer
contributes	contributes to conference
gives_presentations	makes presentation
has_a_commtitee	committee of conference is
has_a_program_committee	program committee of conference is
has_a_steering_committee	steering committee of conference is
has_an_organizing_committee	organizing committee of conference is
has_a_publisher	publisher of proceedings is
has_a_review	has review
has_a_review_expertise	has review expertise
has_a_review_reference_or_expertise	preference or expertise of review is
has_a_submitted_contribution	has submitted contribution
has_a_topic_or_a_submission_contribution	has topic or submission contribution
has_a_track-workshop-tutorial_chair	has workshop chair
has_a_track-workshop-tutorial_topic	has workshop topic
has_an_abstract	has abstract
has_authors	has author
has_been_assigned_a_review_reference	has been assigned review preference
has_contributions	has contribution
has_important_dates	has important date
has_members	has member
has_a_committee_chair	has committee chair
has_a_committee_co-chair	has committee co-chair
has_parts	has part
has_tracks	has track
has_tutorials	has tutorial
has_workshops	has workshop
invited_by	invited by reviewer
invites_co-reviewers	invites co-reviewer
is_a_topis_of_conference_parts	is topic of conference part
is_given_by	presented by
is_part_of_conference_volumes	is part of conference
is_submitted_at	submitted to
is_the_1th_part_of	is the first part of
issues	publishes
reviews	reviews contribution
was_a_committee_of	is committee of conference
was_a_program_committee_of	is program committee of conference
was_a_steering_committee_of	is steering committee of conference
was_an_organizing_committee_of	is organizing committee of conference
was_a_member_of	is member of
was_a_committe_co-chair_of	is co-chair of committee
was_a_committee_chair_of	is chair of committee
was_a_track-workshop_chair_of	is workshop chair of
has_a_URL	URL of conference web is
has_a_date_of_issue	published on date
has_a_degree	degree of review preference
has_a_location	location of conference
has_a_name	has name
has_a_volume	volume number of proceedings
has_an_ISBN	ISBN of proceedings
has_an_email	has e-mail	has email
has_an_expertise	expertise degree of reviewer
has_gender	has gender
has_the_first_name	has first name
has_the_last_name	has surname
is_a_date_of_acceptance_announcement	date of acceptance notification
is_a_date_of_camera_ready_paper_submission	date of camera-ready submission
is_a_full_paper_submission_date	date of full paper submission
is_a_starting_date	starting date
is_an_abstract_submission_date	date of abstract submission
is_an_ending_date	terminal day
