ACM_SIGKDD	conference acm sigkdd
Award	award for conference paper
Best_Applications_Paper_Award	award for best application paper
Best_Research_Paper_Award	award for best research paper
Best_Student_Paper_Award	award for best student paper
Committee	committee
Best_Paper_Awards_Committee	committee for best paper awards
Organizing_Committee	organizing committee
Program_Committee	program committee
Conference	conference
Deadline	deadline
Deadline_Abstract_Submission	deadline of abstract submission
Deadline_Author_notification	deadline of author notification
Deadline_Paper_Submission	deadline of paper submission
Document	document
Abstract	abstrakt
Paper	paper
Review	review
Fee	conference fee
Registration_fee	registration fee
Registration_Non-Member	registration fee for person not being member of SIG
Registration_SIGKDD_Member	registration fee for member of sigkdd
Registration_SIGMOD_Member	registration fee for member of sigmod
Registration_Student	registration fee for student
Sponzor_fee	sponzor fee
Person	person
Listener	listener of conference
Organizator	organizator of conference
General_Chair	chair of conference
Organizing_Committee_member	member of organizing committee
Program_Chair	program chair
Program_Committee_member	member of program committee
Webmaster	webmaster
Speaker	person active at conference
Author	author
Author_of_paper	author of paper
Author_of_paper_student	author of student paper
Invited_Speaker	invited speaker
Place	place
Conference_hall	hall of conference
Hotel	hotel
Main_office	main office of conference
Sponzor	sponzor
Best_Student_Paper_Supporter	sponzor for best student paper
Bronze_Supporter	bronze sponzor of conference
Exhibitor	sponzor as exhibitor
Gold_Supporter	gold sponzor of conference
Platinum_Supporter	platinum sponzor of conference
Silver_Supporter	silver sponzor of conference
award	has award
awarded_by	awarded by
can_stay_in	stay in
design	set-up deadline
designed_by	set-up deadline for
hold	organize conference
holded_by	conference organized by
notification_until	deadline of author notification
obtain	obtained award
pay	paid registration fee
payed_by	registration fee paid by
presentation	presents document
presentationed_by	was presented by
search	call for sponzor
searched_by	sponzor are called by
submit	submit of paper
submit_until	has deadline for submission
City_of_conference	conference takes place in city
Currency	registration fee is in currency
Date	is dated on
E-mail	has email
End_of_conference	date of final day of conference
Name	has name
Name_of_conference	has name of conference
Name_of_sponsor	has sponzor name
Nation	has nationality
Price	has price
Start_of_conference	date of starting day of conference
