Abstract	ملخص البحث
Author	كاتب
Author_of_paper	كاتب البحث
Author_of_paper_student	كاتب البحث طالب  
Best_Applications_Paper_Award	أفضل بحث تطبيقي
Best_Research_Paper_Award	جائزة لأفضل مقالة بحث
Best_Student_Paper_Award	جائزة أفضل بحث لطالب
Award	جائزة لأفضل مقالة في المؤتمر
awarded_by	التي تمنحها
Bronze_Supporter	الراعي البرونزي للمؤتمر
search	الدعوة من اجل الراعي
General_Chair	مدير المؤتمر
Committee	لجان المؤتمر
Best_Paper_Awards_Committee	لجنة لاختيار أفضل البحوث
Conference	المؤتمر
ACM_SIGKDD	المؤتمر acm sigkdd
Fee	رسوم المؤتمر
holded_by	مؤتمر منظم من قبل
City_of_conference	مؤتمر عقد في مدينة
End_of_conference	موعد اليوم الأخير من المؤتمر
Start_of_conference	موعد أول يوم من المؤتمر
Deadline	آخر موعد
Deadline_Abstract_Submission	آخر موعد لتسليم ملخصات الأبحاث
Deadline_Author_notification	آخر موعد للإخطار الباحثين
notification_until	آخر موعد للإخطار الباحثين
Deadline_Paper_Submission	 آخر موعد لإرسال البحوث 
Document	الوثيقة
Gold_Supporter	الراعي الذهبي للمؤتمر
Conference_hall	مكان انعقاد المؤتمر
award	لديه جائزة
submit_until	لديه آخر موعد لإرسال
E-mail	لديه بريد الكتروني
Name	لديه اسم
Name_of_conference	لديه اسم المؤتمر
Nation	لديه الجنسية
Price	لديه السعر
Name_of_sponsor	لديه اسم الراعي
Hotel	الفندق
Invited_Speaker	المحاضر المدعو
Date	مؤرخ على
Listener	مستمع المؤتمر
Main_office	المكتب الرئيسي للمؤتمر
Organizing_Committee_member	عضو اللجنة التحضيرية
Program_Committee_member	عضو اللجنة العلمية
obtain	جائزة متحصل عليها
Organizator	منظمي المؤتمر
hold	تنظيم المؤتمر
Organizing_Committee	اللجنة التحضيرية
pay	دفع رسوم التسجيل
Paper	البحث
Person	شخص
Speaker	مراجع الحسابات المؤتمر
Place	مكان
Platinum_Supporter	الراعي البلاتيني للمؤتمر
presentation	 يقدم الوثيقة
Program_Chair	رئيس اللجنة العلمية
Program_Committee	اللجنة العلمية
Registration_fee	رسوم التسجيل
Registration_SIGKDD_Member	sigkdd رسوم التسجيل لأعضاء
Registration_SIGMOD_Member	sigmod رسوم التسجيل لأعضاء
Registration_Non-Member	SIG رسوم التسجيل للاشخاص الذين ليسوا أعضاء
Registration_Student	رسوم التسجيل لطالب
Currency	رسوم التسجيل هي بالعملة
payed_by	رسوم التسجيل المدفوعة من قبل
Review	مراجعة
design	 تحديد آخر موعد
designed_by	آخر موعد المحدد من اجل
Silver_Supporter	الراعى الفضى للمؤتمر
Sponzor	الرعاة
searched_by	الرعاة مدعوين من قبل
Exhibitor	الراعي كمقدم
Sponzor_fee	رسوم الرعاة
Best_Student_Paper_Supporter	الراعي لأفضل بحث طالب
can_stay_in	يمكن البقاء في
submit	إرسال البحث
presentationed_by	قد قدم من جانب
Webmaster	المسؤول عن الموقع
