Activity	نشاط
Accepting_manuscript	نشاط القبول مخطوطة
Modelling	نشاط النمذجة
Receiving_manuscript	نشاط استلام مخطوطة
Refusing_manuscript	نشاط رفض مخطوطة
Renting	نشاط تأجير سيارة
Simulating	نشاط المحاكاة
Activity_after_conference	نشاط يجري بعد مؤتمر
Activity_before_conference	نشاط يجري قبل مؤتمر
Conference_activity	نشاط يحدث خلال المؤتمر
Money	مبلغ من المال
Document	أي نوع من وثيقة
Audiovisual_equipment	المعدات السمعية والبصرية
Author	الكاتب
Author_information_form	استمارة المعلومات الكاتب
Author_book_proceedings_included	المؤلف الذي سيستلم إجراءات وكتاب
Author_cd_proceedings_included	الكاتب الذي سيستلم محضر الابحاث على شكل قرص
Bank_transfer	تحويل مصرفي
Book_proceeding	كتابر المحضر
Brief_introduction_for_Session_chair	مقدمة موجزة لرئيس الجلسة
Building	المبنى
Car	سيارة
Card	بطاقة
Cd_proceening	CD المتابعة
Cheque	الصك
City	المدينة
Presenter_city	المدينة حيث يأتي منها المقدم
Sponsor_city	المدينة حيث يأتي منها الراعي
Conference_city	المدينة حيث ينعقد المؤتمر
Trip_city	المدينة التي هي مكان من أجل الرحلة
Coctail_reception	 كوكتيل الاستقبال 
Coffee_break	استراحة القهوة
Computer	الحاسوب
Conference_airport	مطارالمؤتمر
Conference_building	مبنى المؤتمرات
Conference_days	أيام المؤتمر
Conference_hall	قاعة المؤتمر
Conference_Hiker	متنزه المؤتمر
Conference_hotel	فندق المؤتمر
Registration_form	استمارة التسجيل المؤتمر
Conference_restaurant	مطعم المؤتمر
Credit_card	بطاقة الائتمان
Currency	العملة
Trip_day	اليوم المسندة من أجل رحلة
Deadline	آخر موعد
Deadline_for_notification_of_acceptance	آخر موعد لإخطار القبول
Registation_deadline	آخر موعد للتسجيل
Submissions_deadline	آخر موعد للارسال
Camera_ready_manuscript_deadline	الموعد النهائي لتقديم النصي الكاميرا جاهزة
Deadline_hotel_reservation	الموعد النهائي لحجز الفنادق
Delegate	مندوب (شخص يسجيل ويزور المؤتمر)
Departure	مغادرة
Departure_tax	ضريبة المغادرة
Dinner_banquet	مأدبة عشاء
Double_hotel_room	غرف الفندق المزدوجة
Fee	رسوم
Fee_for_extra_trip	رسم لرحلة اضافية
Final_manuscript	المخطوط النهائي
Form	استمارة
Full_day_tour	جولة ليوم كامل
give	يعطي
go_through	يمر عبر
has_amount_of	لديه قدر من
Hotel_fee	رسوم فندق
Hotel_presenter	فندق المقدم
Hotel_registration_form	فندق استمارة التسجيل
Hotel_room	غرفة الفندق
Sponsor_company_house	منزل شركة كونها الراعي
Presenter_house	بيت المقدم
Initial_manuscipt	المخطوطة الأولية  
Introduction	مقدمة
Introduction_of_speaker	مقدمة المتحدث
Invitation_letter	رسالة الدعوة
is_connected_with	تم ارتباطه مع
is_dated_on	تم بتاريخ
is_designed_for	تم تصميمه من اجل
is_equipped_by	تم تجهيزه من اجل
is_given_by	تم اعطاءه من قبل
is_given_to	تم اعطاءه ل/ من اجل
is_held_after	تم انعقاده بعد
is_held_before	تم انعقاده قبل
is_held_in	تم انعقاده في
is_situated_in	يقع محليا في
is_made_from	تم صنعه من
is_needed_for	تم حاجة من اجل
is_occupied_by	تم تشغيله من قبل 
is_paid_by	تم دفعه من قبل
is_paid_for	تم دفعه من اجل
is_paid_in	تم دفعه في
is_paid_with	تم دفعه مع
is_prepared_by	تم اعداده من قبل
is_present	موجود في الوقت
is_present_in	موجود في زمان أو مكان
is_sent_after	تم إرساله بعد
is_sent_before	تم إرساله قبل
is_sent_by	تم إرساله من قبل
is_signed_by	تم توقيعه من قبل
is_used_by	تم استخدامه من قبل
is_used_for	تم استخدامه من اجل
is_visited_by	تم زيارته من قبل
is_writen_by	تم كتابته من قبل
Item	البند (بشكل عام)
LCD_projector	جهاز عرض الإسقاط الضوئي شاشات الكريستال السائل
Lecture	محاضرة
Speaker_lecture	محاضرة ملقاة من قبل متحدث
Lecturer	محاضر
Listener	المستمع
Mailing_list	قائمة البريد الالكتروني
Main_office	المكتب الرئيسي
IASTED_member	عضو في IASTED
need	يحتاج
Non_speaker	غير المتحدث
IASTED_non_member	ليس عضوا في IASTED
obtain	يحصل 
occupy	يشتغل (يعيش، يقيم)
One_conference_day	مؤتمر في يوم واحد  
Overhead_projector	جهاز عرض ضوئي
Transparency	الشفافية العامة
Payment_document	وثيقة الدفع
pay	يدفع
Person	شخص
Place	مكان
Plenary_lecture	محاضرة العامة
PowerPoint_presentation	عرض باور بوينت
prepare	تستعد / يعد
Presentation	العرض التقديمي
One_day_presenter	المقدم الذي يقدم فقط في يوم واحد
Publication	نشر
Record_of_attendance	سجل الحضور
Registration	التسجيل
Registration_fee	رسوم التسجيل
