PaperAbstract	ملخص البحث
Acceptance	القبول
acceptedBy	قبوله من قبل 
acceptPaper	يقبل
acceptsHardcopySubmissions	تقبل نسخة المرسلات
addProgramCommitteeMember	يضيف
addedBy	أضافته من قبل
adjustBid	ضبط
adjustedBy	تعديله من قبل
Administrator	مشرف
assignReviewer	يعيين
assignExternalReviewer	يعيين
assignedByAdministrator	تعيينه من قبل مشرف 
assignedByReviewer	مسند من قبل مراجع
assignedTo	تعيين من اجل
AssociatedChair	رئيس المرتبطة
Author	الكاتب 
AuthorNotReviewer	الكاتب، الذي ليس المراجع
Bid	مزايدة
ProgramCommitteeChair	رئيس اللجنة العلمية
Chairman	رئيس
Co-author	الكاتب المشترك
Conference	مؤتمر
ConferenceChair	رئيس المؤتمر
co-writePaper	مشترك في الكتابة
hasCo-author	كاتب مشترك من قبل
Decision	قرار
detailsEnteredBy	تفاصيل مدخلة من قبل
Document	وثيقة
enableVirtualMeeting	تمكين الاجتماع الظاهري
endReview	وقت إنتهاء مراجعة
enterConferenceDetails	إدخال التفاصيل حول
enterReviewCriteria	إدخال معايير المراجعة
ExternalReviewer	المراجع خارجي
finalizePaperAssignment	استكمال احالة البحث
PaperFullVersion	النسخة الكاملة من البحث
hardcopyMailingManifestsPrintedBy	نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل
hasBeenAssigned	تم تعيين
hasDecision	تم تقرير (لتكون مقبولة، مرفوضة، ...)
hasBid	لديه مزايدة
hasConflictOfInterest	لديه تضارب في المصالح مع احترام
date	لديه التاريخ
email	لديه بريد الكتروني
paperID	لديه معرف
logoURL	لديه الشعار في رابط
hasConferenceMember	لديه عضو
hasProgramCommitteeMember	لديه عضو
name	لديه اسم
hasSubjectArea	لديه موضوع المحور
title	لديه عنوان
siteURL	لديه موقع على رابط
markConflictOfInterest	علامة تضارب المصالح
maxPapers	العدد الأقصى من الابحاث المسندة
ConferenceMember	عضو المؤتمر
memberOfConference	عضو المؤتمر
memberOfProgramCommittee	عضو في اللجنة العلمية
ProgramCommitteeMember	عضو في اللجنة العلمية
Meta-Review	مراجعة فوقية
Meta-Reviewer	المراجع الفوقي
Paper	البحث
paperAssignmentFinalizedBy	احالة البحث منتهي من قبل
paperAssignmentToolsRunBy	احالة أدوات البحث مشغل من قبل
Person	شخص
Preference	أفضلية
printHardcopyMailingManifests	طباعة نسخة من البريد الالكتروني للمظاهرات
ProgramCommittee	لجنة العلمية
readByMeta-Reviewer	قراءته من قبل مراجع الفوقي
readByReviewer	قراءته من قبل مراجع
readPaper	قراءة البحث
rejectPaper	بحث مرفوض
rejectedBy	رفض من قبل
Rejection	الرفض
Review	مراجعة
reviewCriteriaEnteredBy	معايير مراجعة أدخلت من قبل
Reviewer	المراجع
reviewerBiddingStartedBy	بدأ تقديم العطاءات المراجع من قبل 
reviewsPerPaper	مراجعة/تعليقات لكل بحث
runPaperAssignmentTools	تشغيل أدوات احالة البحث  
setMaxPapers	تحديد مجموعة عدد أقصى من الابحاث المسندة 
startReviewerBidding	بدء تقديم العطاءات المراجع
SubjectArea	موضوع المحور
submitPaper	ارسال البحث
User	المستخدم
virtualMeetingEnabledBy	اجتماع الظاهري ممكن من قبل
writePaper	كتابة البحث
writeReview	المراجعة كتابية
hasAuthor	كتابته من قبل
writtenBy	كتابته من قبل
