Activity	activiteit
Activity_after_conference	activiteit na de conferentie
Departure	vertrek
Full_day_tour	dagvullende rondleiding
Activity_before_conference	activiteit voor de conferentie
Accepting_manuscript	manuscript accepteren
Receiving_manuscript	manuscript ontvangen
Refusing_manuscript	manuscript afwijzen
Renting	huren
Research	onderzoek
Modelling	modelleren
Simulating	simuleren
Conference_activity	conferentie activiteit
Coctail_reception	coctail receptie
Coffee_break	koffiepauze
Introduction	inleiding
Introduction_of_speaker	spreker voorstellen  
Lecture	lezing
Plenary_lecture	plenaire lezing  
Session	sessie
Speaker_lecture	spreker lezing  
Tutorial	snelcursus
Presentation	presentatie
PowerPoint_presentation	PowerPoint presentatie
Video_presentation	video presentatie
Registration	inschrijving
Social_program	sociaal programma
Dinner_banquet	banket
Technic_activity	technische activiteit
Welcome_address	welkomsttoespraak
City	stad
Conference_city	conferentie stad
Presenter_city	presentator stad
Sponsor_city	sponsor stad
Trip_city	reis stad
Currency	munteenheid
Item	onderdeel
Audiovisual_equipment	audiovisuele uitrusting
Computer	computer
LCD_projector	beamer
Overhead_projector	overhead projector
Video_cassette_player	videospeler
Card	kaart
Credit_card	creditcard  
Document	document
Brief_introduction_for_Session_chair	korte inleiding voorzitter
Form	formulier
Author_information_form	auteur informatie formulier
Hotel_registration_form	hotel informatie formulier
Registration_form	registratieformulier
Invitation_letter	uitnodigingsbrief
Mailing_list	email lijst
Payment_document	betalingsdocument
Bank_transfer	overschrijving
Cheque	cheque
Record_of_attendance	bewijs van aanwezigheid
Review	recentie
Submission	submissie
Final_manuscript	definitief manuscript
Initial_manuscipt	eerste manuscript
Transparency	transparant
Viza	visum
Publication	publicatie
Book_proceeding	conferentiebundel boek
Cd_proceening	conferentiebundel CD
Transport_vehicle	transport voertuig
Car	auto
Shuttle_bus	pendelbus
Taxi	taxi
Van	busje
Money	geld
Fee	kosten
Fee_for_extra_trip	kosten voor extra reis
Hotel_fee	hotel kosten
Registration_fee	registratiekosten
Author_attendee_book_registration_fee	registratiekosten aanwezige auteur boek
Author_attendee_cd_registration_fee	registratiekosten aanwezige auteur cd 
Memeber_registration_fee	registratiekosten lid
Nonauthor_registration_fee	registratiekosten niet-auteur
Nonmember_registration_fee	registratiekosten niet-lid
Student_registration_fee	registratiekosten student
Sponzorship	sponsoring
Tax	belasting
Departure_tax	vertrekbelasting
Value_added_tax	toegevoegde waarde belasting
Tip	fooi
Person	persoon
Delegate	afgevaardigde
Conference_Hiker	conferentie wandelaar
Hotel_presenter	hotel presentator
IASTED_member	IASTED lid
IASTED_non_member	IASTED niet-lid
Listener	toehoorder
Non_speaker	niet-spreker
Student_non_speaker	student niet-spreker
Worker_non_speaker	arbeider niet-spreker
One_day_presenter	eendaags presentator
Session_chair	sessievoorzitter
Speaker	spreker
Author	auteur
Author_book_proceedings_included	auteur conferentiebundel boek inbegrepen
Author_cd_proceedings_included	auteur conferentiebundel cd inbegrepen
Lecturer	lector
Student_lecturer	student lector
Worker_lecturer	arbeider lector
Plenary_lecture_speaker	algemene lezing spreker
Tutorial_speaker	snelcursus spreker
Reviewer	recencent
Technical_commitee	technisch committee
Sponsor	sponsor
Place	plaats
Building	gebouw
Conference_airport	conferentie vliegveld
Conference_building	conferentie gebouw
Conference_hotel	conferentie hotel
Conference_restaurant	conferentie restaurant
Presenter_house	presentator huis
Presenter_university	presentator universiteit
Sponsor_company_house	sponsor bedrijf huis
Conference_hall	conferentiezaal
Hotel_room	hotelkamer
Double_hotel_room	tweepersoonskamer
Single_hotel_room	eenpersoonskamer
Main_office	hoofdkantoor
Session_room	sessie kamer
State	staat
Conference_state	conferentie staat
Presenter_state	presentator staat
Sponsor_state	sponsor staat
Time	tijd
Conference_days	conferentie dagen
One_conference_day	een conferentie dag
Deadline	deadline
Camera_ready_manuscript_deadline	deadline drukklaar manuscript
Deadline_for_notification_of_acceptance	deadline aankondiging acceptatie
Deadline_hotel_reservation	deadline hotel reservering
Registation_deadline	registratie deadline
Submissions_deadline	submissie deadline
Trip_day	reisdag
Time_zone	tijdzone
give	geven
go_through	doorgaan 
is_connected_with	is verbonden met
is_designed_for	is ontworpen voor
is_equipped_by	is voorzien van
is_given_by	wordt gegeven door
is_given_to	wordt gegeven aan
is_held_after	wordt gehouden na
is_held_before	wordt gehouden voor
is_held_in	wordt gehouden in
is_made_from	is gemaakt van
is_needed_for	is nodig voor
is_occupied_by	wordt bezet door
is_paid_by	wordt betaald door
is_paid_for	wordt betaald voor
is_paid_in	wordt betaald in
is_paid_with	wordt betaald met
is_prepared_by	wordt voorbereid door
is_present	is aanwezig
is_present_in	is aanwezig bij
is_sent_after	wordt verzonden na
is_sent_before	wordt verzonden voor
is_sent_by	wordt verzonden door
is_signed_by	is getekend door
is_situated_in	is gelegen in
is_used_by	wordt gebruikt door
is_used_for	wordt gebruikt voor
is_visited_by	wordt bezocht door
is_writen_by	is geschreven door
need	nodig hebben
obtain	krijgen
occupy	bezetten
pay	betalen
prepare	voorbereiden
send	verzenden
sign	tekenen
speak_in	spreken in
write	 schrijven
done_till	klaar tot
has_amount_of	heeft bedrag
is_dated_on	is gedateerd
