ACM_SIGKDD	ACM SIGKDD
Award	prijs
Best_Applications_Paper_Award	prijs best toegepast artikel
Best_Research_Paper_Award	prijs best onderzoeksartikel
Best_Student_Paper_Award	prijs best studenten artikel
Committee	commissie
Best_Paper_Awards_Committee	best artikel prijzencommissie
Organizing_Committee	organisatiecommissie
Program_Committee	programmaccommissie
Conference	conferentie
Deadline	deadline
Deadline_Abstract_Submission	deadline indiening abstract
Deadline_Author_notification	deadline inlichting auteur
Deadline_Paper_Submission	deadline indiening artikel
Document	document
Abstract	abstract
Paper	artikel
Review	recensie
Fee	bedrag
Registration_fee	registratiekosten
Registration_Non-Member	registratie geen lid
Registration_SIGKDD_Member	registratie SIGKDD lid
Registration_SIGMOD_Member	registratie SIGMOD lid
Registration_Student	registratie studenten
Sponzor_fee	sponsorbijdrage
Person	persoon
Listener	toehoorder
Organizator	organisator
General_Chair	algemeen voorzitter
Organizing_Committee_member	lid organisatiecommissie
Program_Chair	voorzitter programmacommissie
Program_Committee_member	lid programmacommissie
Webmaster	webmaster
Speaker	spreker
Author	auteur
Author_of_paper	auteur van artikel
Author_of_paper_student	auteur van studenten artikel
Invited_Speaker	gast spreker
Place	plaats
Conference_hall	conferentiezaal
Hotel	hotel
Main_office	hoofdkantoor
Sponzor	sponsor
Best_Student_Paper_Supporter	best studenten artikel sponsor
Bronze_Supporter	brons sponsor
Exhibitor	tentoonsteller
Gold_Supporter	goud sponsor
Platinum_Supporter	platina sponsor
Silver_Supporter	zilver sponsor
award	prijs
awarded_by	toegekend door
can_stay_in	mag verblijven in
design	ontwerp
designed_by	ontworpen door
hold	houdt
holded_by	gehouden door
notification_until	inlichting tot
obtain	verkrijgen
pay	betalen
payed_by	betaald door
presentation	presentatie
presentationed_by	gepresenteerd door
search	zoeken
searched_by	gezocht door
submit	indienen
submit_until	indienen tot
City_of_conference	stad van conferentie
Currency	betaalmiddel
Date	datum
E-mail	email
End_of_conference	einde van conferentie
Name	naam
Name_of_conference	naam van conferentie
Name_of_sponsor	naam van sponsor
Nation	land
Price	prijs
Start_of_conference	begin van conferentie
