cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
reviewers_all,0.0,0.0,0.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,1.0,1.0,1.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
person,1.0,1.0,1.0
program_committee,1.0,1.0,1.0
paper_co_author,1.0,1.0,1.0
paper,0.0,0.0,0.0
abstract_of_paper,0.0,0.0,0.0
paper_abstract_title,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
member_of_pc,0.0,0.0,0.0
paper_abstract,0.9892197125256673,0.9945806451612904,1.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,1.0,1.0,1.0
paper_1st_author,0.0,0.0,0.0
conference,1.0,1.0,1.0
invite_reviewer,1.0,1.0,1.0
global mean,0.44790412801812646,0.44808898776418243,0.4482758620689655

