ACM_SIGKDD	ACM SIGKDD
Abstract	Аннотация
Author	Автор
Author_of_paper	Автор статьи
Author_of_paper_student	Автор статьи студент
Award	Награда
Best_Applications_Paper_Award	Награда за лучшую прикладную статью
Best_Paper_Awards_Committee	Комитет по наградам за лучшую статью
Best_Research_Paper_Award	Награда за лучшую научную статью
Best_Student_Paper_Award	Награда за лучшую студенческую статью
Best_Student_Paper_Supporter	Спонсор награды за лучшую студенческую статью
Bronze_Supporter	Бронзовый спонсор
Committee	Комитет
Conference	Конференция
Conference_hall	Конференц-зал
Deadline	Последний срок
Deadline_Abstract_Submission	Последний срок подачи аннотаций
Deadline_Author_notification	Последний срок уведомления авторов
Deadline_Paper_Submission	Последний срок подачи статей
Document	Документ
Exhibitor	Экспонент
Fee	Взнос
General_Chair	Председатель
Gold_Supporter	Золотой спонсор
Hotel	Гостиница
Invited_Speaker	Приглашённый докладчик
Listener	Слушатель
Main_office	Главный оффис
Organizator	Организатор
Organizing_Committee	Организационный комитет
Organizing_Committee_member	Член организационного комитета
Paper	Статья
Person	Лицо
Place	Место
Platinum_Supporter	Платиновый спонсор
Program_Chair	Программный председатель
Program_Committee	Программный комитет
Program_Committee_member	Член программного комитета
Registration_Non-Member	Регистрация не членов
Registration_SIGKDD_Member	Регистрация SIGKDD членов
Registration_SIGMOD_Member	Регистрация SIGMOD членов
Registration_Student	Регистация студентов
Registration_fee	Регистрационный взнос
Review	Рецензия
Silver_Supporter	Серебрянный спонсор
Speaker	Докладчик
Sponzor	Спонсор
Sponzor_fee	Спонсорский взнос
Webmaster	Вебмастер
award	награда
awarded_by	кем награждён
can_stay_in	может остановиться в
design	дизайн
designed_by	кем разработан
hold	поддерживает
holded_by	поддерживается
notification_until	уведомляет до
obtain	получает
pay	платит
payed_by	оплачивается
presentation	презентация
presentationed_by	презентуется
search	поиск
searched_by	кем найден
submit	отправить
submit_until	отправить до
City_of_conference	Город конференции
Currency	Валюта
Date	Число
E-mail	Адрес электронной почты
End_of_conference	Окончание конференции
Name	Имя
Name_of_conference	Название конференции
Name_of_sponsor	Имя спонсора
Nation	Национальность
Price	Цена
Start_of_conference	Начало конференции
