Abstract	Аннотация
Accepted_contribution	Принятый труд
Active_conference_participant	Активный участник конференции
Call_for_paper	Информационное письмо
Call_for_participation	Приглашение к участию
Camera_ready_contribution	Труд в окончательной версии
Chair	Председатель
Co-chair	Сопредседатель
Committee	Комиссия
Committee_member	Член комиссии
Conference	Конференция
Conference_announcement	Объявление конференции
Conference_applicant	Заявитель конференции	
Conference_contribution	Труд конференции
Conference_contributor	Лицо внесшее вклад в конференцию
Conference_document	Документ конференции
Conference_fees	Сборы конференции
Conference_part	Часть конференции
Conference_participant	Участник конференции
Conference_proceedings	Сборник трудов конференции
Conference_volume	Выпуск конференции
Conference_www	интернет адрес конференции
Contribution_1th-author	1й автор работы
Contribution_co-author	Соавтор работы
Early_paid_applicant	Досрочно оплативший участник
Extended_abstract	Развёрнутая аннотация
Important_dates	Важные даты
Information_for_participants	Информация для участников
Invited_speaker	Приглашённый докладчик
Invited_talk	Приглашённый доклад
Late_paid_applicant	Поздно оплативший участник
Organization	Организация
Organizer	Организатор
Organizing_committee	Организационная комиссия
Paid_applicant	Оплативший участник
Paper	Статья
Passive_conference_participant	Пассивный участник конференции
Person	Лицо
Poster	Стенд
Presentation	Презентация
Program_committee	Программный коммитет
Publisher	Издатель
Registeered_applicant	Зарегистрированный участник
Regular_author	Автор
Regular_contribution	Полный труд
Rejected_contribution	Отклонённый труд
Review	Рецензия
Review_expertise	Компетентность рецензии
Review_preference	Требования к рецензии
Reviewed_contribution	Отрецензированнй труд
Reviewer	Рецензент
Steering_committee	Научный совет
Submitted_contribution	Поданый труд
Topic	Тема
Track	Секция
Track-workshop_chair	Председатель секции, семинара
Tutorial	Обучающий курс
Workshop	Семинар
Written_contribution	Письменный труд
belong_to_a_conference_volume	указано в выпуске конференции
belongs_to_a_review_reference	указано в требованиях к рецензии
belongs_to_reviewers	принадлежит рецензентам
contributes	вносит вклад
gives_presentations	делает презентацию
has_a_committee_chair	председатель комиссии
has_a_committee_co-chair	заместитель председателя комиссии
has_a_commtitee	комиссия
has_a_program_committee	программный коммитет
has_a_publisher	издатель
has_a_review	рецензия
has_a_review_expertise	компетентность рецензии
has_a_review_reference_or_expertise	рекоммендация рецензирования или компетентность
has_a_steering_committee	научный совет
has_a_submitted_contribution	поданый труд
has_a_topic_or_a_submission_contribution	тема или поданный труд
has_a_track-workshop-tutorial_chair	председатель секции, семинара, обучающегокурса
has_a_track-workshop-tutorial_topic	тема секции, семинара, обучающего курса
has_an_abstract	аннотация
has_an_organizing_committee	организационный комитет
has_authors	авторы
has_been_assigned_a_review_reference	рекоммендация рецензирования
has_contributions	труды
has_important_dates	важные даты
has_members	члены
has_parts	части
has_tracks	секции
has_tutorials	обучающие курсы
has_workshops	семинары
invited_by	кем приглашён
invites_co-reviewers	приглашает ко-рецензентов
is_a_topis_of_conference_parts	является темой частей конференции
is_given_by	кем выполнена
is_part_of_conference_volumes	является частью выпусков конференции
is_submitted_at	подан в
is_the_1th_part_of	является 1й частью
issues	издаёт
reviews	рецензирует
was_a_committe_co-chair_of	являлся сопредседателем комиссии
was_a_committee_chair_of	являлся председателем комиссии
was_a_committee_of	являлся комиссией
was_a_member_of	являлся членом
was_a_program_committee_of	являлся программным комитетом
was_a_steering_committee_of	являлся научным советом
was_a_track-workshop_chair_of	являлся председателем секции, семинара
was_an_organizing_committee_of	являлся организационным комитетом
has_a_URL	интернет-адрес
has_a_date_of_issue	дата издания
has_a_degree	степень
has_a_location	место проведения
has_a_name	название
has_a_volume	выпуск
has_an_ISBN	ISBN
has_an_email	адрес электронной почты
has_an_expertise	компетентность
has_gender	пол
has_the_first_name	имя
has_the_last_name	фамилия
is_a_date_of_acceptance_announcement	дата объявления о приняти
is_a_date_of_camera_ready_paper_submission	дата подачи окончательной версии статьи
is_a_full_paper_submission_date	дата подачи полной статьи
is_a_starting_date	дата начала
is_an_abstract_submission_date	дата подачи аннотации
is_an_ending_date	дата окончания
