Acceptance	Принятие
Administrator	Администратор
AssociatedChair	Заместитель председателя
Author	Автор
AuthorNotReviewer	Автор не являющийся рецензентом
Bid	Ставка
Chairman	Председатель
Co-author	Соавтор
Conference	Конференция
ConferenceChair	Председатель конференции
ConferenceMember	Член конференции
Decision	Решение
Document	Документ
ExternalReviewer	Внешний рецензент
Meta-Review	Мета-Рецензия
Meta-Reviewer	Мета-Рецензент
Paper	Статья
PaperAbstract	Аннотация статьи
PaperFullVersion	Полная версия статьи
Person	Лицо
Preference	Предпочтение
ProgramCommittee	Программный коммитет
ProgramCommitteeChair	Председатель программного коммитета
ProgramCommitteeMember	Член программного коммитета
Rejection	Отклонение
Review	Рецензия
Reviewer	Рецензент
SubjectArea	Тематическая область
User	Пользователь
acceptPaper	принимает статью
acceptedBy	кем принято
addProgramCommitteeMember	добавляет члена программного коммитета
addedBy	кем добавлено
adjustBid	изменяет ставку
adjustedBy	кем изменена
assignExternalReviewer	назначает внешнего рецензента
assignReviewer	назначает рецензента
assignedByAdministrator	назначен администратором
assignedByReviewer	назначен рецензентом
assignedTo	назначена кому
co-writePaper	написать статью в соавторстве
detailsEnteredBy	кем внесены детали
enableVirtualMeeting	разрешить виртуальную встречу
endReview	закончил рецензию
enterConferenceDetails	внести детали конференции
enterReviewCriteria	внести критерии рецензирования
finalizePaperAssignment	закончить назначение статей
hardcopyMailingManifestsPrintedBy	hardcopyMailingManifestsPrintedBy
hasAuthor	автор
hasBeenAssigned	назначена
hasBid	ставка
hasCo-author	соавтор
hasConferenceMember	член конференции
hasConflictOfInterest	конфликт интересов
hasDecision	решение
hasProgramCommitteeMember	член программного коммитета
hasSubjectArea	тематическая область
markConflictOfInterest	отметить конфликт интересов
memberOfConference	член конференции
memberOfProgramCommittee	член программного коммитета
paperAssignmentFinalizedBy	кем закончено назначение статей
paperAssignmentToolsRunBy	кем запущена программа назначения статей
printHardcopyMailingManifests	printHardcopyMailingManifests
readByMeta-Reviewer	прочитано мета-рецензентом
readByReviewer	прочитано рецензентом
readPaper	читает статью
rejectPaper	отклоняет статью
rejectedBy	кем отклонено
reviewCriteriaEnteredBy	кем введены критерии рецензирования
reviewerBiddingStartedBy	кем начато размещение ставок рецензента
runPaperAssignmentTools	кем запущена программа назначения статей
setMaxPapers	установить максимум статей
startReviewerBidding	начало размещения ставок рецензента
submitPaper	подать статью
virtualMeetingEnabledBy	кем разершёна виртуальная встреча
writePaper	пишет статью
writeReview	пишет рецензию
writtenBy	кем написано
acceptsHardcopySubmissions	принимает печатные заявки
date	число
email	адрес электронной почты
logoURL	интернет-адрес логотипа
maxPapers	максимум статей
name	имя
paperID	идентификатор статьи
reviewsPerPaper	рецензенты статьи
siteURL	интернет-адрес сайта
title	заголовок
