Accepting_manuscript	Принятие манускрипта
Activity	Мероприятие
Activity_after_conference	Мероприятие после конференции
Activity_before_conference	Мероприятие до конференции
Audiovisual_equipment	Аудиовизуальное оборудование
Author	Автор
Author_attendee_book_registration_fee	Регистрационный взнос автор, участник, книга
Author_attendee_cd_registration_fee	Регистрационный взнос aвтор, участник
Author_book_proceedings_included	Автор, книга сборника трудов_включены
Author_cd_proceedings_included	Автор, диск сборника трудов включёны
Author_information_form	Информационная форма об авторе
Bank_transfer	Банковский перевод
Book_proceeding	Книга сборника трудов
Brief_introduction_for_Session_chair	Краткое вступление председателя секции
Building	Здание
Camera_ready_manuscript_deadline	Последний срок окончательной версии манускрипта
Car	Автомобиль
Card	Карта
Cd_proceening	Диск сборника трудов
Cheque	Чек
City	Город
Coctail_reception	Коктейль-Вечеринка
Coffee_break	Перерыв на кофе
Computer	Компьютер
Conference_Hiker	Conference_Hiker	
Conference_activity	Мероприятие конференции
Conference_airport	Аэропорт конференции
Conference_building	Здание конференции
Conference_city	Город конференции
Conference_days	Даты конференции
Conference_hall	Kонференц-зал
Conference_hotel	Гостиница конференции
Conference_restaurant	Ресторан конференции
Conference_state	Страна конференции
Credit_card	Кредитная карта
Currency	Валюта
Deadline	Последний срок
Deadline_for_notification_of_acceptance	Последний срок уведомления о принятии
Deadline_hotel_reservation	Последний срок бронирования гостиницы
Delegate	Делегат
Departure	Отправление
Departure_tax	Налог на отправление
Dinner_banquet	Ужин-банкет
Document	Документ
Double_hotel_room	Двуспальный гостиничный номер
Fee	Взнос
Fee_for_extra_trip	Взнос за дополнительную поездку
Final_manuscript	Окончательный манускрипт
Form	Форма
Full_day_tour	Дневной тур
Hotel_fee	Гостиничный взнос
Hotel_presenter	Податель в гостинице
Hotel_registration_form	Гостиничный регистрационный бланк
Hotel_room	Гостиничный номер
IASTED_member	Член IASTED
IASTED_non_member	Не член IASTED
Initial_manuscipt	Первоначальный манускрипт
Introduction	Вступление
Introduction_of_speaker	Представление докладчика
Invitation_letter	Пригласительное письмо
Item	Предмет
LCD_projector	Житкокристаллический проектор
Lecture	Доклад
Lecturer	Докладчик
Listener	Слушатель
Mailing_list	Список рассылки
Main_office	Главный оффис
Memeber_registration_fee	Членский регистрационный взнос
Modelling	Моделирование
Money	Деньги
Non_speaker	Не доскладчик
Nonauthor_registration_fee	Не авторский регистрационный взнос
Nonmember_registration_fee	Не членский регистрационный взнос
One_conference_day	Один день конференции
One_day_presenter	Один день докладчик
Overhead_projector	Потолочный проектор
Payment_document	Документ об оплате
Person	Лицо
Place	Место
Plenary_lecture	Пленарный доклад
Plenary_lecture_speaker	Докладчик пленарного доклада
PowerPoint_presentation	Презентация PowerPoint
Presentation	Презентация
Presenter_city	Город докладчика
Presenter_house	Дом докладчика
Presenter_state	Страна докладчика
Presenter_university	Университет докладчика
Publication	Публикация
Receiving_manuscript	Получение манускрипта
Record_of_attendance	Сертификат участия
Refusing_manuscript	Отклонение манускрипта
Registation_deadline	Последний срок регистрации
Registration	Регистрация
Registration_fee	Регистрационный взнос
Registration_form	Регистрационный бланк
Renting	Прокат
Research	Исследование
Review	Рецензия
Reviewer	Рецензент
Session	Секция
Session_chair	Председатель секции
Session_room	Комната секции
Shuttle_bus	Пригородный автобус
Simulating	Симуляция
Single_hotel_room	Одноместный гостиничный номер
Social_program	Светская программа
Speaker	Докладчик
Speaker_lecture	Доклад докладчика
Sponsor	Спонсор
Sponsor_city	Город спонсора
Sponsor_company_house	Дом  спонсорской компании
Sponsor_state	Cтрана спонсора
Sponzorship	Спонсорство
State	Страна
Student_lecturer	Студент-докладчик
Student_non_speaker	Студент-не докладчик
Student_registration_fee	Студенческий регистрационный взнос
Submission	Подача
Submissions_deadline	Последний срок подачи
Tax	Налог
Taxi	Такси
Technic_activity	Техническое мероприятие
Technical_commitee	Технический комитет
Time	Время
Time_zone	Часовой_пояс
Tip	Чаевые
Transparency	Прозрачность
Transport_vehicle	Транспортное средство
Trip_city	Город экскурсии
Trip_day	День экскурсии
Tutorial	Обучающий курс
Tutorial_speaker	Докладчик обучающего курса
Value_added_tax	Налого на добавленную стоимость
Van	Микроавтобус
Video_cassette_player	Проигрыватель видео кассет
Video_presentation	Видео презентация
Viza	Виза
Welcome_address	Welcome_address	
Worker_lecturer	Работник-докладчик
Worker_non_speaker	Работник-не докладчик
give	даёт
go_through	используется
is_connected_with	связан с
is_designed_for	разработан для
is_equipped_by	оборудован
is_given_by	кем_представлен
is_given_to	кому_представлен
is_held_after	происходить после
is_held_before	происходить до
is_held_in	происходит в
is_made_from	производится из
is_needed_for	требуется для
is_occupied_by	чем занимается
is_paid_by	кем оплачивается
is_paid_for	за что оплачивается
is_paid_in	где оплачивается
is_paid_with	чем оплачивается
is_prepared_by	кем готовится
is_present	присутствует во время
is_present_in	пристутствует в
is_sent_after	посылается после
is_sent_before	посылается до
is_sent_by	кем посылается
is_signed_by	кем подписывается
is_situated_in	находится в
is_used_by	кем используется
is_used_for	используется для
is_visited_by	кем посещается
is_writen_by	кем пишется
need	требует
obtain	получает
occupy	занимает
pay	оплачивает
prepare	готовит
send	посылает
sign	подписывает
speak_in	докладывает в
write	пишет
done_till	до
has_amount_of	сумма
is_dated_on	запланировано на
