Administrative_event	Административный этап
Administrator	Администратор
Assistant	Ассистент
Author	Автор
Banquet	Банкет
Camera_Ready_event	Этап подготовки окончательной версии
Chair_PC	Председатель программного комитета
City	Город
Company	Компания
Conference	Конференция
Contribution	Труд
Country	Страна
Event	Этап
Member	Член
Member_PC	Член программного комитета
Organization	Организация
Paper	Статья
Participant	Участник
Person	Лицо
Poster	Стенд
Reception	Встреча
Registration_of_participants_event	Этап регистрации участников
Regular	Полная
Reviewing_event	Этап рецензирования
Reviewing_results_event	Этап результатов рецензирования
Scholar	Учащийся
Science_Worker	Научный работник
Short_paper	Тезисы статьи
Social_event	Культурный этап
Student	Студент
Submission_event	Этап подачи заявки
Topic	Тематиka
Trip	Экскурсия
Tutorial	Обучающий курс
University	Образовательное учреждение
Volunteer	Волонтёр
Working_event	Этап рабочей программы
Workshop	Семинар
dealsWith	адресует
employedBy	место работы
expertOn	компетентен в
follows	следует
hasAdministrativeEvent	содержит административный этап
hasCity	город
hasCountry	страна
hasTopic	тема
parallel_with	параллельно с
reviewes	рецензирует
studyAt	обучается в
writes	пишет
writtenBy	написана
abstract	аннотация
contactEmail	контактный адрес электронной почты
defaultChoice	выбор по умолчанию
earlyRegistration	досрочная регистрация
ends_on	окончание
hasEmail	адрес электронной почты
hasFax	факс
hasFirstName	имя
hasHomePage	домашняя страница
hasKeyword	содержит ключевые слова
hasPhone	телефон
hasPostalCode	почтовый индекс
hasStreet	улица
hasSurname	фамилия
hasTitle	название
hasVAT	НДС
has_short_title	сокращённое название
has_title	название
location	место проведения
maxChoice	максимальный выбор
minChoice	минимальный выбор
remark	замечание
starts_on	начало
