cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	edas#Paper	edas#Paper -> edas#Document	edas#WithdrawnPaper, edas#ActivePaper, edas#PublishedPaper, edas#RejectedPaper, edas#PendingPaper, edas#AcceptedPaper	edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author	 	2.2565680738279386
cmt#Paper	cmt#Paper -> cmt#Document	 	cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	sigkdd#submit -> sigkdd#Author	 	2.1535700792152914
edas#Paper	edas#Paper -> edas#Document	 	edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author	 	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	sigkdd#submit -> sigkdd#Author	 	2.1535700792152914
edas#Paper	edas#Paper -> edas#Document	edas#PublishedPaper, edas#AcceptedPaper, edas#PendingPaper, edas#RejectedPaper, edas#WithdrawnPaper, edas#ActivePaper	edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author	 	ekaw#Paper	ekaw#Paper -> ekaw#Document	ekaw#Submitted_Paper, ekaw#Conference_Paper, ekaw#Poster_Paper, ekaw#Regular_Paper, ekaw#Demo_Paper, ekaw#Workshop_Paper	ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#topicCoveredBy -> ekaw#Research_Topic	 	2.149098682739113
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Paper	ekaw#Paper -> ekaw#Document	ekaw#Poster_Paper, ekaw#Demo_Paper, ekaw#Industrial_Paper, ekaw#Conference_Paper, ekaw#Regular_Paper, ekaw#Submitted_Paper, ekaw#Workshop_Paper, ekaw#Camera_Ready_Paper	ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#topicCoveredBy -> ekaw#Research_Topic	 	2.130689343099405
cmt#Author	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	cmt#AuthorNotReviewer, cmt#Co-author	cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	 	sigkdd#Author	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	sigkdd#Author_of_paper, sigkdd#Author_of_paper_student	sigkdd#obtain -> sigkdd#Award, sigkdd#submit -> sigkdd#Paper, sigkdd#notification_until -> sigkdd#Deadline_Author_notification, sigkdd#notification_until -> sigkdd#Deadline_Author_notification	 	2.079295643586299
cmt#Review	cmt#Review -> cmt#Document	cmt#Meta-Review	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	 	ekaw#Review	ekaw#Review -> ekaw#Document	ekaw#Negative_Review, ekaw#Positive_Review, ekaw#Neutral_Review	ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer, ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper	 	2.0105885456632766
cmt#Review	cmt#Review -> cmt#Document	 	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	 	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	iasted#is_writen_by -> iasted#Reviewer	 	2.000488822766033
cmt#Person	 	cmt#Chairman, cmt#ConferenceMember, cmt#ProgramCommitteeMember, cmt#User, cmt#ExternalReviewer	cmt#hasConflictOfInterest -> cmt#Document	cmt#email -> cmt#string, cmt#name -> cmt#string	edas#Person	 	edas#ConferenceChair, edas#TPCMember, edas#SessionChair, edas#Attendee	edas#attendeeAt -> edas#ConferenceEvent, edas#isMemberOf -> edas#Conference, edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasMember -> edas#Conference, edas#hasAttendee -> edas#ConferenceEvent	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string	1.9346265769000057
cmt#Reviewer	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	 	cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper, cmt#assignReviewer -> cmt#Administrator, cmt#writtenBy -> cmt#Review, cmt#assignedByAdministrator -> cmt#Administrator, cmt#adjustedBy -> cmt#Bid, cmt#assignedTo -> cmt#Paper, cmt#adjustBid -> cmt#Bid, cmt#assignedByReviewer -> cmt#ExternalReviewer, cmt#writeReview -> cmt#Review, cmt#hasBeenAssigned -> cmt#Paper, cmt#assignExternalReviewer -> cmt#ExternalReviewer	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	1.8964454666000166
