Term 1	Term 2	Label	Ancestors 1	Ancestors 2	Children 1	Children 2	Object Property 1 	Object Property 2	Datatype Property 1	Datatype Property 2	Score
cmt#Paper	edas#Paper	TRUE	cmt#Paper -> cmt#Document	edas#Paper -> edas#Document	cmt#PaperAbstract, cmt#PaperFullVersion	edas#WithdrawnPaper, edas#ActivePaper, edas#PublishedPaper, edas#RejectedPaper, edas#PendingPaper, edas#AcceptedPaper	cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision	edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		2.256568074
cmt#Paper	sigkdd#Paper	TRUE	cmt#Paper -> cmt#Document	sigkdd#Paper -> sigkdd#Document			cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision	sigkdd#submit -> sigkdd#Author	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		2.153570079
edas#Paper	sigkdd#Paper	TRUE	edas#Paper -> edas#Document	sigkdd#Paper -> sigkdd#Document			edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author	sigkdd#submit -> sigkdd#Author			2.153570079
edas#Paper	ekaw#Paper	TRUE	edas#Paper -> edas#Document	ekaw#Paper -> ekaw#Document	edas#PublishedPaper, edas#AcceptedPaper, edas#PendingPaper, edas#RejectedPaper, edas#WithdrawnPaper, edas#ActivePaper	ekaw#Submitted_Paper, ekaw#Conference_Paper, ekaw#Poster_Paper, ekaw#Regular_Paper, ekaw#Demo_Paper, ekaw#Workshop_Paper	edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#ConferenceChair, edas#isTopicOf -> edas#Topic, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewing -> edas#TPCMember, edas#isWrittenBy -> edas#Author, edas#isReviewedBy -> edas#Reviewer, edas#hasTopic -> edas#Topic, edas#hasRelatedPaper -> edas#Author	ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#topicCoveredBy -> ekaw#Research_Topic			2.149098683
cmt#Paper	ekaw#Paper	TRUE	cmt#Paper -> cmt#Document	ekaw#Paper -> ekaw#Document	cmt#PaperAbstract, cmt#PaperFullVersion	ekaw#Poster_Paper, ekaw#Demo_Paper, ekaw#Industrial_Paper, ekaw#Conference_Paper, ekaw#Regular_Paper, ekaw#Submitted_Paper, ekaw#Workshop_Paper, ekaw#Camera_Ready_Paper	cmt#acceptedBy -> cmt#Administrator, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer, cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#rejectPaper -> cmt#Administrator, cmt#submitPaper -> cmt#Author, cmt#readPaper -> cmt#Reviewer, cmt#writePaper -> cmt#Author, cmt#hasAuthor -> cmt#Author, cmt#hasSubjectArea -> cmt#SubjectArea, cmt#rejectedBy -> cmt#Administrator, cmt#assignedTo -> cmt#Reviewer, cmt#hasBid -> cmt#Bid, cmt#markConflictOfInterest -> cmt#Chairman, cmt#co-writePaper -> cmt#Co-author, cmt#hasCo-author -> cmt#Co-author, cmt#markConflictOfInterest -> cmt#Author, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#acceptPaper -> cmt#Administrator, cmt#hasDecision -> cmt#Decision	ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#topicCoveredBy -> ekaw#Research_Topic	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		2.130689343
cmt#Author	sigkdd#Author	TRUE	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	cmt#AuthorNotReviewer, cmt#Co-author	sigkdd#Author_of_paper, sigkdd#Author_of_paper_student	cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	sigkdd#obtain -> sigkdd#Award, sigkdd#submit -> sigkdd#Paper, sigkdd#notification_until -> sigkdd#Deadline_Author_notification, sigkdd#notification_until -> sigkdd#Deadline_Author_notification			2.079295644
cmt#Review	ekaw#Review	TRUE	cmt#Review -> cmt#Document	ekaw#Review -> ekaw#Document	cmt#Meta-Review	ekaw#Negative_Review, ekaw#Positive_Review, ekaw#Neutral_Review	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer, ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper			2.010588546
cmt#Review	iasted#Review	TRUE	cmt#Review -> cmt#Document	iasted#Review -> iasted#Document -> iasted#Item			cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	iasted#is_writen_by -> iasted#Reviewer			2.000488823
cmt#Person	edas#Person	TRUE			cmt#Chairman, cmt#ConferenceMember, cmt#ProgramCommitteeMember, cmt#User, cmt#ExternalReviewer	edas#ConferenceChair, edas#TPCMember, edas#SessionChair, edas#Attendee	cmt#hasConflictOfInterest -> cmt#Document	edas#attendeeAt -> edas#ConferenceEvent, edas#isMemberOf -> edas#Conference, edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasMember -> edas#Conference, edas#hasAttendee -> edas#ConferenceEvent	cmt#email -> cmt#string, cmt#name -> cmt#string	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string	1.934626577
cmt#Reviewer	iasted#Reviewer	TRUE	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person			cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper, cmt#assignReviewer -> cmt#Administrator, cmt#writtenBy -> cmt#Review, cmt#assignedByAdministrator -> cmt#Administrator, cmt#adjustedBy -> cmt#Bid, cmt#assignedTo -> cmt#Paper, cmt#adjustBid -> cmt#Bid, cmt#assignedByReviewer -> cmt#ExternalReviewer, cmt#writeReview -> cmt#Review, cmt#hasBeenAssigned -> cmt#Paper, cmt#assignExternalReviewer -> cmt#ExternalReviewer	iasted#is_writen_by -> iasted#Review			1.896445467
