Term 1	Term 2	Label (Arvind)	Label (Harshit)	Label (Vivek)	Ancestors 1	Ancestors 2	Children 1	Children 2	Object Property 1 	Object Property 2	Datatype Property 1	Datatype Property 2	Score
edas#ActivePaper	ekaw#Paper	FALSE	FALSE	FALSE	edas#ActivePaper -> edas#Paper -> edas#Document	ekaw#Paper -> ekaw#Document	edas#RatedPapers	ekaw#Submitted_Paper, ekaw#Regular_Paper, ekaw#Demo_Paper, ekaw#Poster_Paper, ekaw#Industrial_Paper, ekaw#Conference_Paper	edas#hasRating -> edas#ReviewRating	ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#topicCoveredBy -> ekaw#Research_Topic			1.79
conference#Conference_part	edas#Conference	FALSE	FALSE	FALSE					conference#is_a_topis_of_conference_parts -> conference#Topic, conference#has_a_track-workshop-tutorial_topic -> conference#Topic	edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic, edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document	conference#has_a_name -> conference#string	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.715
cmt#Paper	edas#ActivePaper	FALSE	FALSE	FALSE	cmt#Paper -> cmt#Document	edas#ActivePaper -> edas#Paper -> edas#Document	cmt#PaperAbstract, cmt#PaperFullVersion	edas#RatedPapers	cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#readPaper -> cmt#Reviewer, cmt#assignedTo -> cmt#Reviewer, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#readByMeta-Reviewer -> cmt#Meta-Reviewer	edas#hasRating -> edas#ReviewRating	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string		1.691
cmt#Reviewer	ekaw#Review	FALSE	FALSE	FALSE	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	ekaw#Review -> ekaw#Document	cmt#Meta-Reviewer	ekaw#Negative_Review, ekaw#Positive_Review, ekaw#Neutral_Review	cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper	ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper			1.689
cmt#Chairman	edas#ConferenceChair	FALSE	FALSE	FALSE	cmt#Chairman -> cmt#Person	edas#ConferenceChair -> edas#Person			cmt#markConflictOfInterest -> cmt#Paper	edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call			1.675
cmt#Co-author	sigkdd#Author	FALSE	FALSE	FALSE	cmt#Co-author -> cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Co-author -> cmt#Author -> cmt#User -> cmt#Person	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person			cmt#co-writePaper -> cmt#Paper, cmt#hasCo-author -> cmt#Paper	sigkdd#submit -> sigkdd#Paper, sigkdd#obtain -> sigkdd#Award, sigkdd#notification_until -> sigkdd#Deadline_Author_notification			1.654
conference#Presentation	ekaw#Individual_Presentation	FALSE	FALSE	TRUE	conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	ekaw#Individual_Presentation -> ekaw#Scientific_Event -> ekaw#Event	conference#Invited_talk	ekaw#Invited_Talk, ekaw#Contributed_Talk, ekaw#Tutorial	conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	ekaw#paperPresentedAs -> ekaw#Abstract, ekaw#presentationOfPaper -> ekaw#Abstract, ekaw#presentationOfPaper -> ekaw#Paper, ekaw#paperPresentedAs -> ekaw#Paper			1.63
cmt#Reviewer	sigkdd#Author	FALSE	FALSE	FALSE	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	cmt#Meta-Reviewer	sigkdd#Author_of_paper, sigkdd#Author_of_paper_student	cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper, cmt#assignedTo -> cmt#Paper, cmt#hasBeenAssigned -> cmt#Paper, cmt#adjustedBy -> cmt#Bid	sigkdd#submit -> sigkdd#Paper, sigkdd#obtain -> sigkdd#Award			1.623
cmt#Reviewer	ekaw#Possible_Reviewer	FALSE	FALSE	FALSE	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	ekaw#Possible_Reviewer -> ekaw#Person	cmt#Meta-Reviewer	ekaw#PC_Member	cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper	ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper			1.6
cmt#Chairman	edas#SessionChair	FALSE	FALSE	FALSE	cmt#Chairman -> cmt#Person	edas#SessionChair -> edas#Person			cmt#markConflictOfInterest -> cmt#Paper	edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper, edas#isInitiatedBy -> edas#Call, edas#initiates -> edas#Call			1.596
