VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.62166667	0.5	0.54313464	0.51431126	0.584048	Optimum threshold 0.859, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.57428571	0.56190476	0.56640693	0.56332786	0.57069597	Optimum threshold 0.696, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.35929161	0.74841137	0.48516609	0.6147194	0.40086675	Optimum threshold 0.825, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.57963956	0.92417582	0.71082327	0.82437393	0.62563432	Optimum threshold 0.674, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.75188057	0.95494505	0.83867542	0.90380411	0.7839315	Optimum threshold 0.88, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.60857143	0.56190476	0.58311688	0.56995074	0.5978022	Optimum threshold 0.735, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.35267482	0.74256009	0.47802242	0.6078456	0.39398369	Optimum threshold 0.837, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.50311111	0.92417582	0.64688563	0.78647655	0.55167552	Optimum threshold 0.607, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.76462332	0.96923077	0.85415165	0.91943819	0.79795985	Optimum threshold 0.836, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.91666667	0.39285714	0.54444444	0.44175627	0.71491228	Optimum threshold 0.989, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.93333333	0.34761905	0.49269841	0.39340502	0.67192982	Optimum threshold 0.983, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.35188915	0.76351908	0.48124958	0.61808296	0.39424025	Optimum threshold 0.822, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.57167043	0.92417582	0.70512605	0.82142405	0.61834253	Optimum threshold 0.683, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.51432553	0.92417582	0.65897912	0.79496616	0.56364267	Optimum threshold 0.648, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.93333333	0.34761905	0.49269841	0.39340502	0.67192982	Optimum threshold 0.985, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.93333333	0.34761905	0.49269841	0.39340502	0.67192982	Optimum threshold 0.983, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.36455053	0.73329891	0.48649444	0.6092781	0.40512887	Optimum threshold 0.838, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=N/A)	0.47825397	0.65714286	0.53831169	0.59869642	0.49786849	Optimum threshold 0.564, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=2.)	0.45722222	0.5952381	0.51316527	0.55810166	0.47736686	Optimum threshold 0.592, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=2.)	0.53079365	0.56190476	0.54342324	0.55372493	0.53521244	Optimum threshold 0.609, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=2.)	0.39987179	0.65714286	0.49376623	0.5786462	0.43238752	Optimum threshold 0.522, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=2.)	0.48755237	0.62945107	0.54920581	0.59459465	0.51042844	Optimum threshold 0.936, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=2.)	0.46422366	0.69283247	0.55574601	0.63052674	0.49693337	Optimum threshold 0.897, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=2.)	0.46872208	0.68649576	0.55685186	0.6279157	0.5003683	Optimum threshold 0.899, Dot product of node with neighbours, softmax, weighted average
VeeAlign (max_path=1, max_pathlen=1, threshold=2.)	0.77418215	0.96923077	0.86012867	0.92220886	0.80629719	Optimum threshold 0.879, Dot product of node with neighbours, softmax, weighted average
