Bid	proposition	Proposition de relecture	
Conference	conférence	Conférence	
Decision	décision	Décision	
Acceptance	acceptation	Acceptation	
Rejection	rejet	Rejet	
Document	document	Document	
Paper	article	Article	
PaperAbstract	résumé de l'article	Résumé d'article	
PaperFullVersion	version complète de l'article	Version complète d'article	
Review	révision	Rapport d'examen	
Meta-Review	méta-révision	Méta-rapport d'examen	
Person	personne	Personne	
Chairman	président	Président	
ConferenceMember	membre de la conférence	Membre de conférence	
AssociatedChair	président associé	Président adjoint de conférence	
Author	auteur	Auteur	
AuthorNotReviewer	auteur qui n'est pas relecteur	Auteur qui n'est pas relecteur	
Co-author	co-auteur	Co-auteur	
ConferenceChair	président de la conférence	Président de conférence	
ProgramCommitteeMember	membre du comité de programme	Membre de comité de programme	
ProgramCommitteeChair	président du comité de programme	Président de comité de programme	
Reviewer	relecteur	Relecteur	
Meta-Reviewer	méta-relecteur	Méta-relecteur	
ExternalReviewer	relecteur externe	Relecteur externe	
User	utilisateur	Utilisateur	
Administrator	administrateur	Administrateur	
Preference	préférence	Préférence	
ProgramCommittee	comité de programme	Comité de programme	
SubjectArea	thème	Thématique	
acceptedBy	article accepté par	est accepté par	
acceptPaper	administrateur accepte article	accepte l'article	
addedBy	ajouté par	est ajouté par	
addProgramCommitteeMember	ajoute membre du comité de programme	
adjustBid	ajuste proposition	ajuste la proposition de relecture	
adjustedBy	proposition ajustée par	est ajusté par	
assignedByAdministrator	attribué par l'administrateur	est affecté par l'administrateur	
assignedByReviewer	attribué par le relecteur	est affecté par le relecteur	
assignedTo	article attribué au relecteur	est assigné à	
assignExternalReviewer	attribue relecteur externe	affecte le rôle de relecteur externe à	
assignReviewer	attribue relecteur	affecte le rôle de relecteur à	
co-writePaper	co-écrire article	co-écrit l'article	
detailsEnteredBy	détails de la conférence saisis par l'administrateur	les détails sont saisis par	
enableVirtualMeeting	permettre réunion virtual	met en place la réunion virtuelle	
endReview	finalise la révision	finalise le processus de relecture	
enterConferenceDetails	saisi les détails de la conférence	saisit les détails de la conférence	
enterReviewCriteria	saisi les critères de la révision	saisit les critères d'évaluation de	
finalizePaperAssignment	finalise l'attribution d'article	finalise l'attribution d'articles	
hardcopyMailingManifestsPrintedBy	publipostage imprimés par	les exemplaires papier des courriers de la manifestation imprimés par	
hasAuthor	article a un auteur	a pour auteur	
hasBeenAssigned	relecteur a été attribué à un papier	a été associé à	
hasBid	article a une proposition	a pour proposition de relecture	
hasCo-author	article a un co-auteur	a pour co-auteur	
hasConferenceMember	conférence a un membre	a pour membre de conférence	
hasConflictOfInterest	a conflit d'intérêt	a un conflit d'intérêt à propos de	
hasDecision	article a une décision	a pour décision	
hasProgramCommitteeMember	comité de programme a membre	a pour membre du comité de programme	
hasSubjectArea	article a un thème	a pour thématique	
markConflictOfInterest	marque conflit d'intérêt	signale un conflit d'intérêt pour	
memberOfConference	membre de la conférence	est membre de la conférence	
memberOfProgramCommittee	membre du comité de programme	est membre du comité de programme	
paperAssignmentFinalizedBy	attribution d'article finalisé par	l'attribution des articles finalisée par	
paperAssignmentToolsRunBy	outils d'attribution d'article exécutés par	les outils d'attribution d'articles sont exécutés par	
printHardcopyMailingManifests	administrateur imprime publipostage	imprime les courriers de la manifestation	
readByMeta-Reviewer	article lu par meta-relecteur	est lu par le méta-relecteur	
readByReviewer	article lu par relecteur	est lu par le relecteur	
readPaper	relecteur lit l'article	lit l'article	
rejectedBy	article rejeté par l'administrateur	est rejeté par	
rejectPaper	administrateur rejette l'article	rejette l'article	
reviewCriteriaEnteredBy	critères de révision remplis par l'administrateur	les critères d'évaluation sont remplis par	
reviewerBiddingStartedBy	proposition de révision commencé par l'administrateur	l'attribution de propositions aux relecteurs est initialisée par	
runPaperAssignmentTools	exécute l'outils d'attribution d'article	exécute les outils d'attribution d'articles de	
setMaxPapers	définit nombre maximum d'articles	définit le nombre maximum d'articles de	
startReviewerBidding	commence l'attribution d'article aux relecteurs	initialise l'attribution de propositions aux relecteurs de	
submitPaper	auteur soumet un article	soumet l'article	
virtualMeetingEnabledBy	réunion virtuelle activé par l'administrateur	la réunion virtuelle activée par	
writePaper	auteur écrit un article	écrit l'article	
writeReview	relecteur écrit la révision	écrit le rapport d'examen	
writtenBy	révision écrite par	est écrit par	
acceptsHardcopySubmissions	accepte soumissions d'articles en papier	accepte les soumissions d'articles au format papier	
date	date	
email	courriel	
logoURL	logo URL	URL du logo	
maxPapers	nombre maximum d'articles	
name	nom	
paperID	identifier d'article	identifiant de l'article	
reviewsPerPaper	commentaires par article	nombre de rapports d'examen par article	
siteURL	URL du site	
title	titre	
