ACM_SIGKDD	conférence acm sigkdd	Conférence ACM SIGKDD
Award	prix pour le meilleur article de la conférence	Prix
Best_Applications_Paper_Award	prix pour le meilleur article d'application	Prix de meilleur article d'application
Best_Research_Paper_Award	prix pour le meilleur article recherche	Prix de meilleur article de recherche
Best_Student_Paper_Award	prix pour le meilleur article étudiant	Prix de meilleur article étudiant
Committee	comité	Comité
Best_Paper_Awards_Committee	comité pour choisir les meilleurs articles	Comité de sélection de meilleurs articles
Organizing_Committee	comité d'organisation	Comité d'organisation
Program_Committee	comité de programme	Comité de programme
Conference	conférence	Conférence
Deadline	date limite	Date limite
Deadline_Abstract_Submission	date limite pour la soumission de résumé	Date limite pour soumettre un résumé
Deadline_Author_notification	date limite pour notifier les authors	date limite pour notifier les auteurs
Deadline_Paper_Submission	date limite pour soumettre les articles	Date limite pour soumettre un article
Document	document	Document
Abstract	résumé	Résumé
Paper	article	Article
Review	révision	Rapport d'examen
Fee	frais de la conférence	Frais
Registration_fee	frais d'inscription	Frais d'inscription
Registration_Non-Member	frais d'incription pour les personnes qui ne sont pas membre du SIG	Frais d'inscription de non-membre
Registration_SIGKDD_Member	frais d'incription pour les membres du sigkdd	Frais d'inscription de membre de SIGKDD
Registration_SIGMOD_Member	frais d'incription pour les membres du sigmod	Frais d'inscription de membre de SIGMOD
Registration_Student	frais d'incription pour les étudiants	Frais d'inscription d'étudiant
Sponzor_fee	frais de sponsor	Frais de sponsor
Person	personne	Personne
Listener	auditeur de la conférence	Auditeur
Organizator	organisateur de la conférence	Organisateur
General_Chair	président de la conférence	Président général
Organizing_Committee_member	membre du comité d'organisation	Membre de comité d'organisation
Program_Chair	président de programme	Président de programme
Program_Committee_member	membre du comité de programme	Membre de comité de programme
Webmaster	web master	Webmestre
Speaker	conférencier	Orateur
Author	auteur	Auteur
Author_of_paper	auteur d'article	Auteur d'article
Author_of_paper_student	auteur d'article édudiant	Auteur d'article étudiant
Invited_Speaker	conférencier invité	Conférencier invité
Place	lieu	Lieu
Conference_hall	lieu de la conférence	Salle de conférence
Hotel	hôtel	Hôtel
Main_office	bureau principal de la conférence	Bureau principal
Sponzor	sponsor	Sponsor
Best_Student_Paper_Supporter	sponsor pour le meilleur article étudiant	Sponsor de meilleur article étudiant
Bronze_Supporter	sponsor de bronze de la conférence	Sponsor de bronze
Exhibitor	sponsor as exposant	Exposant
Gold_Supporter	sponsor d'or de la conférence	Sponsor d'or
Platinum_Supporter	sponsor platinum de la conférence	Sponsor de platine
Silver_Supporter	sponsor silver de la conférence	Sponsor d'argent
award	a prix	décerne
awarded_by	décerné par	est décerné par
can_stay_in	peut rester dans	peut rester sur
design	spéficie date limite	définit
designed_by	date limite spécifiée pour	est défini par
hold	organise conférence	organise
holded_by	conférence organisée par	est organisé par
notification_until	date limite pour notifier les auteurs	notification jusqu'à
obtain	prix obtenu	obtient
pay	paye frais d'incription	paye
payed_by	frais d'incription payés par	est payé par
presentation	présente document	présente
presentationed_by	était présenté par	est présenté par
search	appel à sponsor	démarche
searched_by	sponsors sont appelés par	est démarché par
submit	soumettre l'article	soumet
submit_until	a une date limite pour la soumission	est soumis jusqu'à
City_of_conference	conférence a lieu dans la ville	ville de la conférence
Currency	devises de les frais d'inscription	monnaie
Date	est date sur	date
E-mail	a courriel	courriel
End_of_conference	date du dérnier jour de la conférence	fin de la conférence
Name	a nom	nom
Name_of_conference	a nom de la conférence	nom de la conférence
Name_of_sponsor	a nom du sponsor	nom du sponsor
Nation	a nationalité	nationalité
Price	a prix	prix
Start_of_conference	date du premièr jour de la conférence	début de la conférence
