Bid	Gebot
Conference	Konferenz
Decision	Entscheidung
Acceptance	Akzeptanz
Rejection	Zurückweisung
Document	Dokument
Paper	Konferenzbeitrag
PaperAbstract	Abstrakt eines Konferenzbeitrags	Zusammenfassung eines Konferenzbeitrags
PaperFullVersion	vollständiger Konferenzbeitrag
Review	Gutachten
Meta-Review	Meta-Gutachten (Gutachten über ein Gutachten)
Person	Person
Chairman	Vorsitzender
ConferenceMember	Teilnehmer einer Konferenz
AssociatedChair	stellvertretender Vorsitz
Author	Verfasser
AuthorNotReviewer	Verfasser, der kein Gutachter ist
Co-author	Mitverfasser
ConferenceChair	Vorsitzender der Konferenz
ProgramCommitteeMember	Mitglied des Programm-Komitees
ProgramCommitteeChair	Vorsitzender des Programm-Komitees
Reviewer	Gutachter
Meta-Reviewer	Meta-Gutachater (Gutachter der Gutachten begutachtet)
ExternalReviewer	externer Gutachter
User	Benutzer
Administrator	Administrator
Preference	Präferenz
ProgramCommittee	Programm-Komitee
SubjectArea	Gegenstandsbereich
acceptedBy	akzeptiert von
acceptPaper	hat akzeptiert
addedBy	hinzugefügt von
addProgramCommitteeMember	hat hinzugefügt
adjustBid	hat abgeglichen
adjustedBy	abgeglichen von
assignedByAdministrator	zugewiesen von Administrator
assignedByReviewer	zugewiesen von Gutachter
assignedTo	zugewiesen zu
assignExternalReviewer	hat zugewiesen
assignReviewer	hat zugewiesen
co-writePaper	hat Beitrag mitverfasst
detailsEnteredBy	Details eingefügt von
enableVirtualMeeting	hat virtuelles Treffen veranlasst
endReview	hat die Zeit des Begutachtens beendet
enterConferenceDetails	hat Details eingefügt in Bezug auf
enterReviewCriteria	hat Kriterien zu Gutachten eingefügt
finalizePaperAssignment	hat die Zuordnung der Beiträge abgeschlossen
hardcopyMailingManifestsPrintedBy	Papierausdruck des Mailing-Manifests gedruckt von
hasAuthor	geschrieben von
hasBeenAssigned	ist zugeordnet worden
hasBid	hat Gebot erhalten
hasCo-author	mitverfasst von
hasConferenceMember	hat Teilnehmer
hasConflictOfInterest	hat Interessenskonflikt in Bezug auf
hasDecision	ist entschieden worden als
hasProgramCommitteeMember	hat Mitglied
hasSubjectArea	hat Gegenstandsbereich
markConflictOfInterest	steht in Interessen-Konflikt mit Beitrag
memberOfConference	Teilnehmer von
memberOfProgramCommittee	ist Mitglied des Programm-Komitees
paperAssignmentFinalizedBy	Beitragszuordnung abgeschlossen von
paperAssignmentToolsRunBy	Beitragszuordnungs-Software ausgeführt von
printHardcopyMailingManifests	druckt Papierausdruck des Mailing-Manifests
readByMeta-Reviewer	gelesen von Meta-Gutachter
readByReviewer	gelesen von Gutachter
readPaper	hat Papier gelesen
rejectedBy	abgewiesen von
rejectPaper	hat Papier abgelehnt
reviewCriteriaEnteredBy	Kriterien zu Gutachten eingefügt von
reviewerBiddingStartedBy	Gebotsphase gestartet von
runPaperAssignmentTools	hat die Beitrags-Zuordnungssoftware ausgeführt
setMaxPapers	bestimme maximale Anzahl an zugewiesenen Beiträgen
startReviewerBidding	hat die Gebotsphase gestartet
submitPaper	hat Beitrag eingesendet
virtualMeetingEnabledBy	virtuelles Treffen veranlasst von
writePaper	hat Beitrag geschrieben
writeReview	hat Gutachten geschrieben
writtenBy	geschrieben von
acceptsHardcopySubmissions	akzeptiert Hardcopy-Einsendungen
date	hat Datum
email	hat Email
logoURL	hat Logo an URL
maxPapers	maximale Anzahl an zugewiesenen Beiträgen
name	hat Namen
paperID	hat ID
reviewsPerPaper	Gutachten pro Beitrag
siteURL	hat Webseite an URL
title	hat Titel
