ACM_SIGKDD	Konferenz ACM sigdkdd
Award	Award für Konferenzbeitrag
Best_Applications_Paper_Award	Award für besten anwendbaren Beitrag
Best_Research_Paper_Award	Award für besten Forschungsbeitrag
Best_Student_Paper_Award	Award für besten studentischen Beitrag
Committee	Ausschuss
Best_Paper_Awards_Committee	Ausschuss für den Award des besten Beitrags
Organizing_Committee	Organisationsausschuss
Program_Committee	Programmausschuss
Conference	Konferenz
Deadline	Deadline
Deadline_Abstract_Submission	Deadline für eine abstrakte Einreichung	Deadline für die Einreichung der Zusammenfassung
Deadline_Author_notification	Deadline für die Mitteilung eines Authors
Deadline_Paper_Submission	Deadline für die Einreichung eines Beitrags
Document	Dokument
Abstract	Abstrakt	Zusammenfassung
Paper	Beitrag
Review	Gutachten
Fee	Konferenzgebühr
Registration_fee	Registrierungsgebühr
Registration_Non-Member	Registrierungskosten für Personen, die nicht Mitglied von SIG sind
Registration_SIGKDD_Member	Registrierungskosten für Mitglieder von sigkdd
Registration_SIGMOD_Member	Registrierungskosten für Mitglieder von sigmod
Registration_Student	Registrierungskosten für Studenten
Sponzor_fee	Sponsorenbeitrag
Person	Person
Listener	Hörer der Konferenz
Organizator	Organisatoren der Konferenz
General_Chair	Vorsitzender der Konferenz
Organizing_Committee_member	Mitglied des Organisationsausschusses
Program_Chair	Programmvorsitzender
Program_Committee_member	Mitglied des Programmausschusses
Webmaster	Webmaster
Speaker	aktiver Konferenzteilnehmer
Author	Author
Author_of_paper	Author eines Konferenzbeitrages
Author_of_paper_student	eines studentischen Beitrags
Invited_Speaker	eingeladener Referent
Place	Platz
Conference_hall	Konferenzsaal
Hotel	Hotel
Main_office	Hauptbüro der Konferenz
Sponzor	Sponsor
Best_Student_Paper_Supporter	Sponsor für besten studentischen Beitrag
Bronze_Supporter	Bronze Sponsor der Konferenz
Exhibitor	Sponsor als Aussteller
Gold_Supporter	Gold Sponsor der Konferenz 
Platinum_Supporter	Platin Sponsor der Konferenz 
Silver_Supporter	Silber Sponsor der Konferenz 
award	hat Award
awarded_by	hat Award erhalten von
can_stay_in	bleibt in
design	Deadline festgelegt
designed_by	Deadline eingerichtet für
hold	organisiert Konferenz
holded_by	Konferenz organisiert von
notification_until	Deadline für Authorenmitteilung
obtain	Award erhalten von
pay	paid zahlt Registrierungsbeitrag
payed_by	Registrierungsbeitrag gezahlt von
presentation	präsentiert Dokumente
presentationed_by	wurde präsentiert von
search	Aufruf von Sponsoren
searched_by	Sponsoren wurden aufgerufen von
submit	Beitrag wurde eingereicht von
submit_until	hat Deadline für Einreichungen
City_of_conference	Konferenz findet in folgender Stadt statt
Currency	Registrierungsbeitrags ist in Währung
Date	ist datiert auf den
E-mail	hat E-Mailadresse
End_of_conference	Datum des letzten Tages der Konferenz ist
Name	hat Namen
Name_of_conference	hat Name der Konferenz
Name_of_sponsor	hat Sponsorenname
Nation	hat Nationalität
Price	hat Preis
Start_of_conference	Datum des ersten Tages der Konferenz ist
