Activity	Aktivität
Activity_after_conference	Aktivität, die nach der Konferenz stattfindet
Departure	Abreise
Full_day_tour	Tagestour
Activity_before_conference	Aktivität, die vor der Konferenz stattfindet
Accepting_manuscript	Akzeptieren eines Manuskripts
Receiving_manuscript	Annahme eines Manuskripts
Refusing_manuscript	Ablehnung eines Manuskripts
Renting	Mieten eines Autos
Research	Forschungsaktivität
Modelling	Modellierungsaktivität
Simulating	Simulationsaktivität
Conference_activity	Aktivität, die während der Konferenz stattfindet
Coctail_reception	Cocktail-Empfang
Coffee_break	Kaffeepause
Introduction	Vorstellung
Introduction_of_speaker	Vorstellung eines Redners
Lecture	Vortrag
Plenary_lecture	Vortrag im Plenum
Session	Session
Speaker_lecture	Vortrag gehalten von einem Redner
Tutorial	Tutorium
Presentation	Präsentation
PowerPoint_presentation	Powerpoint-Präsentation
Video_presentation	Video-Präsentation
Registration	Registrierung
Social_program	soziale Aktivität
Dinner_banquet	Dinner-Bankett
Technic_activity	technische Aktivität
Welcome_address	Willkommensrede
City	Stadt
Conference_city	Stadt, in der die Konferenz stattfindet
Presenter_city	Stadt, aus der ein Vortragender kommt
Sponsor_city	Stadt, aus der ein Sponzor kommt
Trip_city	Stadt, die ein Ausflugsziel darstellt
Currency	Währung
Item	Gegenstand (im allgemeinen)
Audiovisual_equipment	audiovisuelle Ausstattung
Computer	Computer
LCD_projector	LCD-Projektor
Overhead_projector	Overhead-Projektor
Video_cassette_player	Videorecorder
Card	Karte
Credit_card	Kreditkarte
Document	jede Art von Dokument
Brief_introduction_for_Session_chair	kurze Einführung für den Session-Vorsitz
Form	Formular
Author_information_form	Formular zur Information des Autors
Hotel_registration_form	Registrierungsformular (Hotel)
Registration_form	Registrierungsformular (Konferenz)
Invitation_letter	Einladungsbrief
Mailing_list	Mailingliste
Payment_document	Zahlungsbeleg
Bank_transfer	Bank Transfer
Cheque	Scheck
Record_of_attendance	Anwesenheitsnachweis
Review	Gutachten
Submission	Einreichung
Final_manuscript	Endversion des Manuskripts
Initial_manuscipt	Originalversion des Manuskripts
Transparency	Folie (Overhead Projektor)
Viza	Visum
Publication	Publikation
Book_proceeding	Tagungsband als Buch
Cd_proceening	Tagungsband als CD
Transport_vehicle	Transportfahrzeug
Car	Automobil
Shuttle_bus	Shuttle-Bus
Taxi	Taxi
Van	Kleintransporter
Money	Geldbetrag
Fee	Gebühr
Fee_for_extra_trip	Gebühr für einen Zusatzausflug
Hotel_fee	Hotelgebühr
Registration_fee	Anmeldegebühr
Author_attendee_book_registration_fee	Anmeldegebühr für einen Autor, der den Tagungsband in Buchform erhält
Author_attendee_cd_registration_fee	Anmeldegebühr für einen Autor, der den Tagungsband als CD erhält
Memeber_registration_fee	Anmeldegebühr für ein Mitglied
Nonauthor_registration_fee	Anmeldegebühr für einen Nicht-Autor
Nonmember_registration_fee	Anmeldegebühr für ein Nicht-Mitglied
Student_registration_fee	Anmeldegebühr für einen Studenten
Sponzorship	Sponsorgebühr
Tax	Steuer
Departure_tax	Abreisegebühr
Value_added_tax	Mehrwertsteuer
Tip	Trinkgeld
Person	Person
Delegate	Delegierter
Conference_Hiker	Konferenzbesucher
Hotel_presenter	Vortragender, der im Konferenzhotel untergebracht ist
IASTED_member	Mitglied von IASTED
IASTED_non_member	Nicht-Mitglied von IASTED
Listener	Zuhörer
Non_speaker	Nicht-Redner
Student_non_speaker	Student, der kein Redner ist
Worker_non_speaker	Angestellter, der kein Redner ist
