Committee	Ausschuss
Organizing_committee	Organisationsausschuss
Program_committee	Programmausschuss
Steering_committee	Steuerungsausschuss
Conference	Konferenz
Conference_volume	Konferenzreihe
Conference_document	Koferenzdokument
Call_for_paper	Aufruf für Beiträge
Call_for_participation	Aufruf zu Teilnahme
Conference_announcement	Konferenzankündigung
Conference_contribution	Konferenzbeteiligung
Poster	Aushang
Presentation	Präsentation
Invited_talk	eingeladener Vortrag
Written_contribution	geschriebener Beitrag
Regular_contribution	regulärer Beitrag
Extended_abstract	erweitertes Abstrakt	erweitertes Zusammenfassung
Abstract	Abstrakt	Zusammenfassung
Paper	Konferenzbeitrag
Submitted_contribution	eingereichter Beitrag
Reviewed_contribution	begutachteter Beitrag
Accepted_contribution	angenommener Beitrag
Camera_ready_contribution	druckfertiger Beitrag
Rejected_contribution	abgelehnter Beitrag
Conference_www	Internet der Konferenz
Information_for_participants	Informationen für Teilnehmer
Review	Gutachten
Conference_fees	Konferenzgebühren
Conference_part	Abschnitte der Konferenz
Track	Ablauf der Konferenz
Tutorial	Tutorium
Workshop	Workshop
Conference_proceedings	Fortschritte der Konferenz
Important_dates	wichtiges Datum
Organization	Organisation
Organizer	Organisator
Person	Person
Committee_member	Angehörige des Ausschusses
Chair	Vorsitzender
Co-chair	stellvertretender Vorsitzender
Conference_applicant	Koferenzbewerber
Paid_applicant	Konferenzbewerber, der die Konferenzgebühr gezahlt hat
Early_paid_applicant	Konferenzbewerber, der die Konferenzgebühr früh gezahlt hat
Late_paid_applicant	Konferenzbewerber, der die Konferenzgebühr spät gezahlt hat
Conference_contributor	Konferenzteilnehmer, der einen Beitrag geleistet hat
Active_conference_participant	aktiver Konferenzteilnehmer
Invited_speaker	eingeladener Referent
Regular_author	Author eines regulären Beitrags
Contribution_1th-author	primärer Author eines Beitrags
Contribution_co-author	Mitverfasser eines Beitrags
Conference_participant	Konferenzteilnehmer
Active_conference_participant	aktiver Konferenzteilnehmer
Passive_conference_participant	passiver Konferenzteilnehmer
Reviewer	Gutachter
Track-workshop_chair	Leiter der Workshops
Publisher	Herausgeber
Review_expertise	Fachgebiet des Gutachters
Review_preference	Präferenz des Gutachters
Topic	Thema
Registeered_applicant	registrierter Bewerber
belong_to_a_conference_volume	ist ein wichtiges Datum einer Konferenzreihe
belongs_to_a_review_reference	ist ein präferiertes Thema eines Gutachters
belongs_to_reviewers	ist ein präferiertes Thema oder Fachgebiet eines Gutachters
contributes	liefert Konferenzbeitrag 
gives_presentations	hält Präsentation
has_a_commtitee	Ausschuss der Konferenz ist
has_a_program_committee	Programmausschuss der Konferenz ist
has_a_steering_committee	Steuerungsausschuss der Konferenz ist
has_an_organizing_committee	Organisationsausschuss der Konferenz ist
has_a_publisher	Verleger des Konferenzfortschritts ist
has_a_review	hat Gutachten
has_a_review_expertise	hat Fachgutachten
has_a_review_reference_or_expertise	Präferenz oder Fachgebiet des Gutachters ist
has_a_submitted_contribution	hat Beitrag eingreicht
has_a_topic_or_a_submission_contribution	hat Thema oder Beitrag eingereicht
has_a_track-workshop-tutorial_chair	hat Workshop-Leitung
has_a_track-workshop-tutorial_topic	hat Workshop-Thema
has_an_abstract	hat Abstrakt	hat Zusammenfassung
has_authors	hat Author
has_been_assigned_a_review_reference	hat eine zugewiesene Gutachterpräferenz
has_contributions	hat Beitrag
has_important_dates	hat wichtiges Datum
has_members	hat Mitglieder
has_a_committee_chair	hat Ausschussvorsitzender
has_a_committee_co-chair	hat stellvertrenden Ausschussvorsitzender
has_parts	hat Abschnitt
has_tracks	hat Abfolge
has_tutorials	hat Tutorium
has_workshops	hat Workshop
invited_by	eingeladen von Gutachter
invites_co-reviewers	lädt Mitgutachter ein
is_a_topis_of_conference_parts	ist Thema ein Konferenzabschnittes
is_given_by	präsentiert von
is_part_of_conference_volumes	ist Teil der Konferenzreihe
is_submitted_at	ist eingereicht für
is_the_1th_part_of	ist der erst Teil von
issues	veröffentlicht
reviews	begutachtet Beitrag
was_a_committee_of	ist Ausschuss der Konferenz
was_a_program_committee_of	ist Programmausschuss der Konferenz
was_a_steering_committee_of	ist Steuerungsausschuss der Konferenz
was_an_organizing_committee_of	ist Organisationsausschuss der Konferenz
was_a_member_of	ist Mitglied von
was_a_committe_co-chair_of	ist stellvertretender Vorsitzender des Ausschusses
was_a_committee_chair_of	ist Vorsitzender des Ausschusses
was_a_track-workshop_chair_of	ist Leiter des Workshops
has_a_URL	URL der Konferenz ist
has_a_date_of_issue	ist am folgenden Datum veröffentlicht worden
has_a_degree	Grad der Gutachterpräferenz
has_a_location	Ort der Konferenz
has_a_name	hat Name
has_a_volume	Anzahl der Fortschritte der Konferenz
has_an_ISBN	ISBN der Fortschritte ist
has_an_email	hat E-Mailadresse
has_an_expertise	Grad des Fachgebiets des Gutachters ist
has_gender	hat Geschlecht
has_the_first_name	hat Vornamen
has_the_last_name	hat Nachnamen
is_a_date_of_acceptance_announcement	Datum der Akzeptanz-Mitteilung ist
is_a_date_of_camera_ready_paper_submission	Datum der druckfertigen Einreichung ist
is_a_full_paper_submission_date	Datum der Einreichung des kompletten Beitrags ist
is_a_starting_date	ist Anfangsdatum
is_an_abstract_submission_date	Datum der Einreichung des Abstrakts	Datum der Einreichung des Zusammenfassungen
is_an_ending_date	ist Enddatum
