City	město
Contribution	příspěvek
Paper	článek
Poster	poster
Short_paper	krátký článek
Country	stát
Event	událost
Administrative_event	administrativní aktivita
Camera_Ready_event	aktivita poslání kamera-ready verze
Registration_of_participants_event	aktivita registrace účastníků
Reviewing_event	aktivita recenzování
Reviewing_results_event	aktivita recenzování výsledků
Submission_event	aktivita zaslání příspěvku
Social_event	společenská událost
Banquet	banket
Reception	raut
Trip	výlet
Working_event	pracovní aktivita
Conference	konference
Tutorial	tutoriál
Workshop	workshop
Organization	organizace
Company	firma
University	univerzita
Person	osoba
Administrator	administrátor
Assistant	asistent
Author	autor
Chair_PC	ředitel programového výboru
Member_PC	člen programového výboru
Participant	účastník
Member	osoba s podílem na konferenci
Regular	řádný účastník konference
Student	studentský účastník konference
Scholar	student
Science_Worker	vědecký pracovník
Volunteer	dobrovolník
Topic	téma
dealsWith	pojednává o tématu
employedBy	zaměstnán
expertOn	být expertem na téma
follows	následuje
hasAdministrativeEvent	související administrativní_aktivita
hasCity	sídlí ve městě
hasCountry	sídlí v zemi
hasTopic	týká se
parallel_with	probíhá paralelně s
reviewes	recenzuje
studyAt	studuje na univerzitě
writes	napsal příspěvek
writtenBy	byl napsán autorem
abstract	obsahuje abstrakt
contactEmail	má kontaktní adresu
defaultChoice	nastavení implicitní volby počtu aktivit
earlyRegistration	účastník konference má včasnou registraci
ends_on	událost končí v den
has_short_title	má stručný název
has_title	má název
hasEmail	má email
hasFax	má fax
hasFirstName	křestní jméno osoby je
hasHomePage	má domovskou stránku
hasKeyword	klíčová slova příspěvku jsou
hasPhone	má telefon
hasPostalCode	směrovací číslo
hasStreet	sídlí v ulici
hasSurname	příjmení osoby
hasTitle	název příspěvku
hasVAT	má zdanění
location	událost má umístění
maxChoice	nastavení maximálního počtu událostí
minChoice	nastavení minimálního počtu událostí
remark	poznámka
starts_on	úvodní den události
