ACM_SIGKDD	konference acm sigkdd
Award	ocenění za článek na konferenci
Best_Applications_Paper_Award	ocenění za nejlepší aplikační článek
Best_Research_Paper_Award	ocenění za nejlepší výzkumný článek
Best_Student_Paper_Award	ocenění za nejlepší studentský článek
Committee	výbor
Best_Paper_Awards_Committee	výbor pro udělování ocenění za nejlepší články
Organizing_Committee	organizační výbor
Program_Committee	programový výbor
Conference	konference
Deadline	termín
Deadline_Abstract_Submission	termín zaslání abstraktu
Deadline_Author_notification	termín vyrozumění autorů
Deadline_Paper_Submission	termín zaslání článku
Document	dokument
Abstract	abstrakt
Paper	článek
Review	recenze
Fee	konferenční poplatek
Registration_fee	registrační poplatek
Registration_Non-Member	registrační poplatek pro nečlena SIG
Registration_SIGKDD_Member	registrační poplatek pro člena sigkdd
Registration_SIGMOD_Member	registrační poplatek pro člena sigmod
Registration_Student	registrační poplatek pro studenty
Sponzor_fee	sponzorský poplatek
Person	osoba
Listener	posluchač konference
Organizator	ogranizátor konference
General_Chair	předseda konference
Organizing_Committee_member	člen organizačního výboru
Program_Chair	předseda programového výboru
Program_Committee_member	člen programového výboru
Webmaster	správce webu
Speaker	osoba aktivní na konferenci
Author	autor
Author_of_paper	autor článku
Author_of_paper_student	autor studentské článku
Invited_Speaker	zvaný přednášející
Place	místo
Conference_hall	konferenční hala
Hotel	hotel
Main_office	hlavní kancelář konference
Sponzor	sponzor
Best_Student_Paper_Supporter	sponzor nejlepšího studentského článku
Bronze_Supporter	bronzový sponzor konference
Exhibitor	sponzor se stánkem
Gold_Supporter	zlatý sponzor konference
Platinum_Supporter	platinový sponzor konference
Silver_Supporter	stříbrný sponzor
award	má ocenění
awarded_by	oceněno
can_stay_in	sídlí v
design	stanoveny termíny
designed_by	stanoveny termíny pro
hold	pořádá konferenci
holded_by	konference pořádána
notification_until	termín vyrozumění autorů
obtain	získal ocenění
pay	zaplatil registrační poplatek
payed_by	registrační poplatek zaplacen kým
presentation	prezentace dokumentu
presentationed_by	dokument prezentován kým
search	hledá sponzory
searched_by	sponzoři hledáni kým
submit	zaslání článku
submit_until	termín pro odeslání
City_of_conference	město pořádání konference
Currency	registrační poplatek je ve měně
Date	je stanoven na
E-mail	má email
End_of_conference	datum závěrečného dne konference
Name	jmenuje se
Name_of_conference	jméno konference
Name_of_sponsor	jméno sponzora
Nation	národnost
Price	cena
Start_of_conference	datum prvního dne konference
