q_32.sparql,?s  {   ?s  <http://cmt#Administrator> .    } ,confOf,,,
q_12.sparql,?s  {   ?s  <http://cmt#Author> .    } ,edas,confOf,conference,ekaw
q_34.sparql,?s  {   ?s  <http://cmt#Co-author> .    } ,conference,,,
q_18.sparql,?s  {   ?s  <http://cmt#Conference> .    } ,confOf,ekaw,conference,edas
q_27.sparql,?s  {   ?s  <http://cmt#ConferenceChair> .    } ,edas,,,
q_8.sparql,?s  {   ?s  <http://cmt#Document> .    } ,ekaw,edas,conference,confOf
q_4.sparql,?s  {   ?s  <http://cmt#ExternalReviewer> .    } ,ekaw,conference,,
q_21.sparql,?s  {   ?s  <http://cmt#Paper> .    } ,ekaw,edas,confOf,conference
q_17.sparql,?s  {   ?s  <http://cmt#PaperAbstract> .    } ,conference,,,
q_26.sparql,?s  {   ?s  <http://cmt#PaperFullVersion> .    } ,confOf,conference,ekaw,edas
q_5.sparql,?s  {   ?s  <http://cmt#Person> .    } ,edas,ekaw,confOf,conference
q_0.sparql,?s  {   ?s  <http://cmt#ProgramCommittee> .    } ,conference,,,
q_16.sparql,?s  {   ?s  <http://cmt#ProgramCommitteeChair> .    } ,confOf,ekaw,conference,
q_6.sparql,?s  {   ?s  <http://cmt#ProgramCommitteeMember> .    } ,confOf,ekaw,conference,
q_33.sparql,?s  {   ?s  <http://cmt#Review> .    } ,conference,edas,ekaw,
q_1.sparql,?s  {   ?s  <http://cmt#Reviewer> .    } ,ekaw,conference,confOf,
q_10.sparql,?s  {   ?s  <http://cmt#SubjectArea> .    } ,edas,ekaw,confOf,conference
q_3.sparql,?s ?o  {   ?s <http://cmt#assignedByReviewer> ?o .    } ,conference,,,
q_28.sparql,?s ?o  {   ?s <http://cmt#assignExternalReviewer> ?o .    } ,conference,,,
q_13.sparql,?s ?o  {   ?s <http://cmt#hasConferenceMember> ?o .    } ,edas,,,
q_19.sparql,?s ?o  {   ?s <http://cmt#hasProgramCommitteeMember> ?o .    } ,conference,,,
q_20.sparql,?s ?o  {   ?s <http://cmt#hasSubjectArea> ?o .    } ,confOf,ekaw,edas,ekaw
q_23.sparql,?s ?o  {   ?s <http://cmt#memberOfConference> ?o .    } ,edas,,,
q_29.sparql,?s ?o  {   ?s <http://cmt#memberOfProgramCommittee> ?o .    } ,conference,,,
q_9.sparql,?s ?o  {   ?s <http://cmt#readByReviewer> ?o .    } ,confOf,conference,ekaw,
q_25.sparql,?s ?o  {   ?s <http://cmt#readPaper> ?o .    } ,conference,confOf,ekaw,
Q_22.sparql,?s ?o  {   ?s <http://cmt#title> ?o .    } ,confOf,all,,
q_2.sparql,?s ?o  {   ?s <http://cmt#writeReview> ?o .    } ,conference,ekaw,,
q_15.sparql,?s ?o  {   ?s <http://cmt#writtenBy> ?o .    } ,conference,ekaw,,
Q_30,name,all,,,
39,?s <http://cmt#markConflictOfInterest> ?o .  ,all,,,
38,?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://cmt#ConferenceMember> .  ,edas,,,
37,<http://cmt#AuthorNotReviewer> .  ,all,,,
36,?s <http://cmt#hasBeenAssigned> ?o .  ,conference,confOf,ekaw,
35,?s <http://cmt#assignedTo> ?o .  ,conference,confOf,ekaw,
31,?s <http://cmt#date> ?o .  ,conference,confOf,edas,
